Pair ID,Source Folder 1,Package 1,Class 1,Method 1,Start Line 1,End Line 1,Source Folder 2,Package 2,Class 2,Method 2,Start Line 2,End Line 2,Left Code,Right Code,Clone Type
18-1-2,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parseMenu,212,275,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parsePopupMenu,281,339,"String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;","String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;",Type 1
18-1-2,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parseMenu,212,275,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parsePopupMenu,281,339,"String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractSelectableAction action = ( AbstractSelectableAction ) getAction ( id , mediator ) ;
if ( action == null )
continue ;","String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractSelectableAction action = ( AbstractSelectableAction ) getAction ( id , mediator ) ;
if ( action == null )
continue ;",Type 1
18-1-2,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parseMenu,212,275,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parsePopupMenu,281,339,"String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;","String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;",Type 1
18-1-2,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parseMenu,212,275,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parsePopupMenu,281,339,"imenu = getIMenu ( id , mediator ) ;
if ( imenu == null )
continue ;","imenu = getIMenu ( id , mediator ) ;
if ( imenu == null )
continue ;",Type 1
19-1-2,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parseMenu,214,275,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parsePopupMenu,281,339,"String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;","String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;",Type 1
19-1-2,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parseMenu,214,275,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parsePopupMenu,281,339,"String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractSelectableAction action = ( AbstractSelectableAction ) getAction ( id , mediator ) ;
if ( action == null )
continue ;","String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractSelectableAction action = ( AbstractSelectableAction ) getAction ( id , mediator ) ;
if ( action == null )
continue ;",Type 1
19-1-2,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parseMenu,214,275,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parsePopupMenu,281,339,"String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;","String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;",Type 1
19-1-2,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parseMenu,214,275,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parsePopupMenu,281,339,"imenu = getIMenu ( id , mediator ) ;
if ( imenu == null )
continue ;","imenu = getIMenu ( id , mediator ) ;
if ( imenu == null )
continue ;",Type 1
21-1-2,contact/src/main/java,org.columba.addressbook.gui.dialog.importfilter,PluginStep,createComponent,59,119,mail/src/main/java,org.columba.mail.gui.config.mailboximport,PluginStep,createComponent,62,117,"JList list = new JList ( pluginHandler . getPluginIdList ( ) ) ;
list . setCellRenderer ( new PluginListCellRenderer ( ) ) ;
descriptionLabel = new MultiLineLabel ( ""description"" ) ;
JComponent component = new JPanel ( new BorderLayout ( ) ) ;
component . setLayout ( new BorderLayout ( 0 , 30 ) ) ;
component . add ( new MultiLineLabel ( AddressbookResourceLoader . getString ( ""dialog"" , ""addressbookimport"" , ""plugin_text"" ) ) , BorderLayout . NORTH ) ;
JPanel middlePanel = new JPanel ( ) ;
middlePanel . setAlignmentX ( 1 ) ;
GridBagLayout layout = new GridBagLayout ( ) ;
middlePanel . setLayout ( layout ) ;
Method method = null ;
try
method = list . getClass ( ) . getMethod ( ""getSelectedValue"" , null ) ;
data . registerDataLookup ( ""Plugin.ID"" , new DefaultDataLookup ( list , method , null ) ) ;
list . addListSelectionListener ( this ) ;
list . setSelectedIndex ( 0 ) ;
JScrollPane scrollPane = new JScrollPane ( list ) ;
scrollPane . setHorizontalScrollBarPolicy ( JScrollPane . HORIZONTAL_SCROLLBAR_NEVER ) ;
GridBagConstraints c = new GridBagConstraints ( ) ;
c . anchor = GridBagConstraints . NORTHWEST ;
c . gridx = 0 ;
c . fill = GridBagConstraints . BOTH ;
c . weightx = 0.4 ;
c . weighty = 1.0 ;
layout . setConstraints ( scrollPane , c ) ;
middlePanel . add ( scrollPane ) ;
c . gridwidth = GridBagConstraints . REMAINDER ;
c . weightx = 0.6 ;
c . gridx = 1 ;
c . anchor = GridBagConstraints . NORTHWEST ;
c . insets = new Insets ( 0 , 10 , 0 , 0 ) ;
JScrollPane scrollPane2 = new JScrollPane ( descriptionLabel ) ;
scrollPane2 . setHorizontalScrollBarPolicy ( JScrollPane . HORIZONTAL_SCROLLBAR_NEVER ) ;
layout . setConstraints ( scrollPane2 , c ) ;
middlePanel . add ( scrollPane2 ) ;
component . add ( middlePanel ) ;
return component ;","JList list = new JList ( pluginHandler . getPluginIdList ( ) ) ;
list . setCellRenderer ( new PluginListCellRenderer ( ) ) ;
descriptionLabel = new MultiLineLabel ( ""description"" ) ;
JComponent component = new JPanel ( new BorderLayout ( 0 , 30 ) ) ;

component . add ( new MultiLineLabel ( MailResourceLoader . getString ( ""dialog"" , ""mailboximport"" , ""plugin_text"" ) ) , BorderLayout . NORTH ) ;
JPanel middlePanel = new JPanel ( ) ;
middlePanel . setAlignmentX ( 1 ) ;
GridBagLayout layout = new GridBagLayout ( ) ;
middlePanel . setLayout ( layout ) ;
Method method = null ;
try
method = list . getClass ( ) . getMethod ( ""getSelectedValue"" , null ) ;
data . registerDataLookup ( ""Plugin.ID"" , new DefaultDataLookup ( list , method , null ) ) ;
list . addListSelectionListener ( this ) ;
list . setSelectedIndex ( 0 ) ;
JScrollPane scrollPane = new JScrollPane ( list ) ;
scrollPane . setHorizontalScrollBarPolicy ( JScrollPane . HORIZONTAL_SCROLLBAR_NEVER ) ;
GridBagConstraints c = new GridBagConstraints ( ) ;
c . anchor = GridBagConstraints . NORTHWEST ;
c . gridx = 0 ;
c . fill = GridBagConstraints . BOTH ;
c . weightx = 0.4 ;
c . weighty = 1.0 ;
layout . setConstraints ( scrollPane , c ) ;
middlePanel . add ( scrollPane ) ;
c . gridwidth = GridBagConstraints . REMAINDER ;
c . weightx = 0.6 ;
c . gridx = 1 ;
c . anchor = GridBagConstraints . NORTHWEST ;
c . insets = new Insets ( 0 , 10 , 0 , 0 ) ;
JScrollPane scrollPane2 = new JScrollPane ( descriptionLabel ) ;
scrollPane2 . setHorizontalScrollBarPolicy ( JScrollPane . HORIZONTAL_SCROLLBAR_NEVER ) ;
layout . setConstraints ( scrollPane2 , c ) ;
middlePanel . add ( scrollPane2 ) ;
component . add ( middlePanel ) ;
return component ;",Type 3
22-1-2,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parseMenu,215,275,core/src/main/java,org.columba.core.gui.menu,MenuXMLDecoder,parsePopupMenu,284,339,"String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;","String id = menuElement . getAttributeValue ( MenuXMLDecoder . ID ) ;
AbstractColumbaAction action = getAction ( id , mediator ) ;
if ( action == null )
continue ;",Type 1
