Pair ID,Source Folder 1,Package 1,Class 1,Method 1,Start Line 1,End Line 1,Source Folder 2,Package 2,Class 2,Method 2,Start Line 2,End Line 2,Left Code,Right Code,Clone Type
6/1/02,src,bsh,Primitive,longBinaryOperation,263,335,src,bsh,Primitive,intBinaryOperation,340,412,"
long lhs = L1 . longValue ( ) ;

long rhs = L2 . longValue ( ) ;
switch ( kind )
case LT :
case LTX :
return new Boolean ( lhs < rhs ) ;
case GT :
case GTX :
return new Boolean ( lhs > rhs ) ;
case EQ :
return new Boolean ( lhs == rhs ) ;
case LE :
case LEX :
return new Boolean ( lhs <= rhs ) ;
case GE :
case GEX :
return new Boolean ( lhs >= rhs ) ;
case NE :
return new Boolean ( lhs != rhs ) ;
case PLUS :
return new Long ( lhs + rhs ) ;
case MINUS :
return new Long ( lhs - rhs ) ;
case STAR :
return new Long ( lhs * rhs ) ;
case SLASH :
return new Long ( lhs / rhs ) ;
case MOD :
return new Long ( lhs % rhs ) ;
case LSHIFT :
case LSHIFTX :
return new Long ( lhs << rhs ) ;
case RSIGNEDSHIFT :
case RSIGNEDSHIFTX :
return new Long ( lhs >> rhs ) ;
case RUNSIGNEDSHIFT :
case RUNSIGNEDSHIFTX :
return new Long ( lhs >>> rhs ) ;
case BIT_AND :
case BIT_ANDX :
return new Long ( lhs & rhs ) ;
case BIT_OR :
case BIT_ORX :
return new Long ( lhs | rhs ) ;
case XOR :
return new Long ( lhs ^ rhs ) ;
default :
throw new InterpreterError ( ""Unimplemented binary long operator"" ) ;","int lhs = I1 . intValue ( ) ;

int rhs = I2 . intValue ( ) ;

switch ( kind )
case LT :
case LTX :
return new Boolean ( lhs < rhs ) ;
case GT :
case GTX :
return new Boolean ( lhs > rhs ) ;
case EQ :
return new Boolean ( lhs == rhs ) ;
case LE :
case LEX :
return new Boolean ( lhs <= rhs ) ;
case GE :
case GEX :
return new Boolean ( lhs >= rhs ) ;
case NE :
return new Boolean ( lhs != rhs ) ;
case PLUS :
return new Integer ( lhs + rhs ) ;
case MINUS :
return new Integer ( lhs - rhs ) ;
case STAR :
return new Integer ( lhs * rhs ) ;
case SLASH :
return new Integer ( lhs / rhs ) ;
case MOD :
return new Integer ( lhs % rhs ) ;
case LSHIFT :
case LSHIFTX :
return new Integer ( lhs << rhs ) ;
case RSIGNEDSHIFT :
case RSIGNEDSHIFTX :
return new Integer ( lhs >> rhs ) ;
case RUNSIGNEDSHIFT :
case RUNSIGNEDSHIFTX :
return new Integer ( lhs >>> rhs ) ;
case BIT_AND :
case BIT_ANDX :
return new Integer ( lhs & rhs ) ;
case BIT_OR :
case BIT_ORX :
return new Integer ( lhs | rhs ) ;
case XOR :
return new Integer ( lhs ^ rhs ) ;
default :
throw new InterpreterError ( ""Unimplemented binary integer operator"" ) ;",Type 2
8/1/02,src,bsh,Primitive,longBinaryOperation,268,335,src,bsh,Primitive,intBinaryOperation,345,412,"switch ( kind )
case LT :
case LTX :
return new Boolean ( lhs < rhs ) ;
case GT :
case GTX :
return new Boolean ( lhs > rhs ) ;
case EQ :
return new Boolean ( lhs == rhs ) ;
case LE :
case LEX :
return new Boolean ( lhs <= rhs ) ;
case GE :
case GEX :
return new Boolean ( lhs >= rhs ) ;
case NE :
return new Boolean ( lhs != rhs ) ;
case PLUS :
return new Long ( lhs + rhs ) ;
case MINUS :
return new Long ( lhs - rhs ) ;
case STAR :
return new Long ( lhs * rhs ) ;
case SLASH :
return new Long ( lhs / rhs ) ;
case MOD :
return new Long ( lhs % rhs ) ;
case LSHIFT :
case LSHIFTX :
return new Long ( lhs << rhs ) ;
case RSIGNEDSHIFT :
case RSIGNEDSHIFTX :
return new Long ( lhs >> rhs ) ;
case RUNSIGNEDSHIFT :
case RUNSIGNEDSHIFTX :
return new Long ( lhs >>> rhs ) ;
case BIT_AND :
case BIT_ANDX :
return new Long ( lhs & rhs ) ;
case BIT_OR :
case BIT_ORX :
return new Long ( lhs | rhs ) ;
case XOR :
return new Long ( lhs ^ rhs ) ;
default :
throw new InterpreterError ( ""Unimplemented binary long operator"" ) ;","switch ( kind )
case LT :
case LTX :
return new Boolean ( lhs < rhs ) ;
case GT :
case GTX :
return new Boolean ( lhs > rhs ) ;
case EQ :
return new Boolean ( lhs == rhs ) ;
case LE :
case LEX :
return new Boolean ( lhs <= rhs ) ;
case GE :
case GEX :
return new Boolean ( lhs >= rhs ) ;
case NE :
return new Boolean ( lhs != rhs ) ;
case PLUS :
return new Integer ( lhs + rhs ) ;
case MINUS :
return new Integer ( lhs - rhs ) ;
case STAR :
return new Integer ( lhs * rhs ) ;
case SLASH :
return new Integer ( lhs / rhs ) ;
case MOD :
return new Integer ( lhs % rhs ) ;
case LSHIFT :
case LSHIFTX :
return new Integer ( lhs << rhs ) ;
case RSIGNEDSHIFT :
case RSIGNEDSHIFTX :
return new Integer ( lhs >> rhs ) ;
case RUNSIGNEDSHIFT :
case RUNSIGNEDSHIFTX :
return new Integer ( lhs >>> rhs ) ;
case BIT_AND :
case BIT_ANDX :
return new Integer ( lhs & rhs ) ;
case BIT_OR :
case BIT_ORX :
return new Integer ( lhs | rhs ) ;
case XOR :
return new Integer ( lhs ^ rhs ) ;
default :
throw new InterpreterError ( ""Unimplemented binary integer operator"" ) ;",Type 2
11/1/02,src,bsh,Primitive,doubleBinaryOperation,417,475,src,bsh,Primitive,floatBinaryOperation,479,537,"
double lhs = D1 . doubleValue ( ) ;

double rhs = D2 . doubleValue ( ) ;
switch ( kind )
case LT :
case LTX :
return new Boolean ( lhs < rhs ) ;
case GT :
case GTX :
return new Boolean ( lhs > rhs ) ;
case EQ :
return new Boolean ( lhs == rhs ) ;
case LE :
case LEX :
return new Boolean ( lhs <= rhs ) ;
case GE :
case GEX :
return new Boolean ( lhs >= rhs ) ;
case NE :
return new Boolean ( lhs != rhs ) ;
case PLUS :
return new Double ( lhs + rhs ) ;
case MINUS :
return new Double ( lhs - rhs ) ;
case STAR :
return new Double ( lhs * rhs ) ;
case SLASH :
return new Double ( lhs / rhs ) ;
case MOD :
return new Double ( lhs % rhs ) ;
case LSHIFT :
case LSHIFTX :
case RSIGNEDSHIFT :
case RSIGNEDSHIFTX :
case RUNSIGNEDSHIFT :
case RUNSIGNEDSHIFTX :
throw new UtilEvalError ( ""Can't shift doubles"" ) ;
default :
throw new InterpreterError ( ""Unimplemented binary double operator"" ) ;","float lhs = F1 . floatValue ( ) ;

float rhs = F2 . floatValue ( ) ;

switch ( kind )
case LT :
case LTX :
return new Boolean ( lhs < rhs ) ;
case GT :
case GTX :
return new Boolean ( lhs > rhs ) ;
case EQ :
return new Boolean ( lhs == rhs ) ;
case LE :
case LEX :
return new Boolean ( lhs <= rhs ) ;
case GE :
case GEX :
return new Boolean ( lhs >= rhs ) ;
case NE :
return new Boolean ( lhs != rhs ) ;
case PLUS :
return new Float ( lhs + rhs ) ;
case MINUS :
return new Float ( lhs - rhs ) ;
case STAR :
return new Float ( lhs * rhs ) ;
case SLASH :
return new Float ( lhs / rhs ) ;
case MOD :
return new Float ( lhs % rhs ) ;
case LSHIFT :
case LSHIFTX :
case RSIGNEDSHIFT :
case RSIGNEDSHIFTX :
case RUNSIGNEDSHIFT :
case RUNSIGNEDSHIFTX :
throw new UtilEvalError ( ""Can't shift floats "" ) ;
default :
throw new InterpreterError ( ""Unimplemented binary float operator"" ) ;",Type 2
12/1/02,src,org.gjt.sp.jedit.gui,PanelWindowContainer,getWrappedDimension,697,749,src,org.gjt.sp.jedit.gui,PanelWindowContainer,preferredLayoutSize,754,809,"Insets insets = ( ( JComponent ) parent ) . getBorder ( ) . getBorderInsets ( ( JComponent ) parent ) ;
Component [ ] comp = parent . getComponents ( ) ;
if ( comp . length <= 2 )

return 0 ;
Dimension dim = comp [ 2 ] . getPreferredSize ( ) ;
if ( position . equals ( DockableWindowManager . TOP ) || position . equals ( DockableWindowManager . BOTTOM ) )
int width = dimension - insets . right ;
int rowHeight = Math . max ( dim . height , closeBox . getPreferredSize ( ) . width ) ;
int x = rowHeight * 2 + insets . left ;
Dimension returnValue = new Dimension ( 0 , rowHeight + insets . top + insets . bottom ) ;
for ( int i = 2 ; i < comp . length ; i ++ )
int btnWidth = comp [ i ] . getPreferredSize ( ) . width ;
if ( btnWidth + x > width )
returnValue . height += rowHeight ;
x = insets . left ;
x += btnWidth ;

return returnValue . height ;
else
int height = dimension - insets . bottom ;
int colWidth = Math . max ( dim . width , closeBox . getPreferredSize ( ) . height ) ;
int y = colWidth * 2 + insets . top ;
Dimension returnValue = new Dimension ( colWidth + insets . left + insets . right , 0 ) ;
for ( int i = 2 ; i < comp . length ; i ++ )
int btnHeight = comp [ i ] . getPreferredSize ( ) . height ;
if ( btnHeight + y > height )
returnValue . width += colWidth ;
y = insets . top ;
y += btnHeight ;

return returnValue . width ;","Insets insets = ( ( JComponent ) parent ) . getBorder ( ) . getBorderInsets ( ( JComponent ) parent ) ;
Component [ ] comp = parent . getComponents ( ) ;
if ( comp . length <= 2 )
return new Dimension ( 0 , 0 ) ;

Dimension dim = comp [ 2 ] . getPreferredSize ( ) ;
if ( position . equals ( DockableWindowManager . TOP ) || position . equals ( DockableWindowManager . BOTTOM ) )
int width = parent . getWidth ( ) - insets . right ;
int rowHeight = Math . max ( dim . height , closeBox . getPreferredSize ( ) . width ) ;
int x = rowHeight * 2 + insets . left ;
Dimension returnValue = new Dimension ( 0 , rowHeight + insets . top + insets . bottom ) ;
for ( int i = 2 ; i < comp . length ; i ++ )
int btnWidth = comp [ i ] . getPreferredSize ( ) . width ;
if ( btnWidth + x > width )
returnValue . height += rowHeight ;
x = insets . left ;
x += btnWidth ;
return returnValue ;

else
int height = parent . getHeight ( ) - insets . bottom ;
int colWidth = Math . max ( dim . width , closeBox . getPreferredSize ( ) . height ) ;
int y = colWidth * 2 + insets . top ;
Dimension returnValue = new Dimension ( colWidth + insets . left + insets . right , 0 ) ;
for ( int i = 2 ; i < comp . length ; i ++ )
int btnHeight = comp [ i ] . getPreferredSize ( ) . height ;
if ( btnHeight + y > height )
returnValue . width += colWidth ;
y = insets . top ;
y += btnHeight ;
return returnValue ;
",Type 2
13-1-2,src,installer,VariableGridLayout,getLayoutSize,246,301,src,org.gjt.sp.jedit.gui,VariableGridLayout,getLayoutSize,244,299,"synchronized ( parent . getTreeLock ( ) )
update ( parent ) ;
int ncomponents = parent . getComponentCount ( ) ;
int h = 0 ;
int w = 0 ;
for ( int r = 0 , i = 0 ; r < nrows ; r ++ )
int row_height = 0 ;
for ( int c = 0 ; c < ncols ; c ++ , i ++ )
if ( i < ncomponents )
switch ( which )
case 0 :
row_height = Math . max ( row_height , parent . getComponent ( i ) . getMinimumSize ( ) . height ) ;
break ;
case 1 :
row_height = Math . max ( row_height , parent . getComponent ( i ) . getMaximumSize ( ) . height ) ;
break ;
default :
row_height = Math . max ( row_height , parent . getComponent ( i ) . getPreferredSize ( ) . height ) ;
break ;
else
break ;
h += row_height ;
for ( int c = 0 ; c < ncols ; c ++ )
int col_width = 0 ;
for ( int r = 0 ; r < nrows ; r ++ )
int i = r * ncols + c ;
if ( i < ncomponents )
switch ( which )
case 0 :
col_width = Math . max ( col_width , parent . getComponent ( i ) . getMinimumSize ( ) . width ) ;
break ;
case 1 :
col_width = Math . max ( col_width , parent . getComponent ( i ) . getMaximumSize ( ) . width ) ;
break ;
default :
col_width = Math . max ( col_width , parent . getComponent ( i ) . getPreferredSize ( ) . width ) ;
break ;
else
break ;
w += col_width ;
Insets insets = parent . getInsets ( ) ;
return new Dimension ( w + insets . left + insets . right + ( ( ncols - 1 ) * hgap ) , h + insets . top + insets . bottom + ( ( nrows - 1 ) * vgap ) ) ;","synchronized ( parent . getTreeLock ( ) )
update ( parent ) ;
int ncomponents = parent . getComponentCount ( ) ;
int h = 0 ;
int w = 0 ;
for ( int r = 0 , i = 0 ; r < nrows ; r ++ )
int row_height = 0 ;
for ( int c = 0 ; c < ncols ; c ++ , i ++ )
if ( i < ncomponents )
switch ( which )
case 0 :
row_height = Math . max ( row_height , parent . getComponent ( i ) . getMinimumSize ( ) . height ) ;
break ;
case 1 :
row_height = Math . max ( row_height , parent . getComponent ( i ) . getMaximumSize ( ) . height ) ;
break ;
default :
row_height = Math . max ( row_height , parent . getComponent ( i ) . getPreferredSize ( ) . height ) ;
break ;
else
break ;
h += row_height ;
for ( int c = 0 ; c < ncols ; c ++ )
int col_width = 0 ;
for ( int r = 0 ; r < nrows ; r ++ )
int i = r * ncols + c ;
if ( i < ncomponents )
switch ( which )
case 0 :
col_width = Math . max ( col_width , parent . getComponent ( i ) . getMinimumSize ( ) . width ) ;
break ;
case 1 :
col_width = Math . max ( col_width , parent . getComponent ( i ) . getMaximumSize ( ) . width ) ;
break ;
default :
col_width = Math . max ( col_width , parent . getComponent ( i ) . getPreferredSize ( ) . width ) ;
break ;
else
break ;
w += col_width ;
Insets insets = parent . getInsets ( ) ;
return new Dimension ( w + insets . left + insets . right + ( ( ncols - 1 ) * hgap ) , h + insets . top + insets . bottom + ( ( nrows - 1 ) * vgap ) ) ;",Type 1
14-1-2,src,installer,VariableGridLayout,layoutContainer,165,219,src,org.gjt.sp.jedit.gui,VariableGridLayout,layoutContainer,163,217,"synchronized ( parent . getTreeLock ( ) )
update ( parent ) ;
int ncomponents = parent . getComponentCount ( ) ;
if ( ncomponents == 0 )
return ;
int total_height = 0 ;
for ( int r = 0 , i = 0 ; r < nrows ; r ++ )
for ( int c = 0 ; c < ncols ; c ++ , i ++ )
if ( i < ncomponents )
Dimension d = parent . getComponent ( i ) . getPreferredSize ( ) ;
row_heights [ r ] = Math . max ( row_heights [ r ] , d . height ) ;
col_widths [ c ] = Math . max ( col_widths [ c ] , d . width ) ;
else
break ;
total_height += row_heights [ r ] ;
int total_width = 0 ;
for ( int c = 0 ; c < ncols ; c ++ )
total_width += col_widths [ c ] ;
Dimension parent_size = parent . getSize ( ) ;
Insets insets = parent . getInsets ( ) ;
int free_height = parent_size . height - insets . top - insets . bottom - ( nrows - 1 ) * vgap ;
int free_width = parent_size . width - insets . left - insets . right - ( ncols - 1 ) * hgap ;
if ( total_height != free_height )
double dy = ( double ) free_height / ( double ) total_height ;
for ( int r = 0 ; r < nrows ; r ++ )
row_heights [ r ] = ( int ) ( ( double ) row_heights [ r ] * dy ) ;
if ( total_width != free_width )
double dx = ( ( double ) free_width ) / ( ( double ) total_width ) ;
for ( int c = 0 ; c < ncols ; c ++ )
col_widths [ c ] = ( int ) ( ( double ) col_widths [ c ] * dx ) ;
for ( int r = 0 , y = insets . top , i = 0 ; r < nrows ; y += row_heights [ r ] + vgap , r ++ )
for ( int c = 0 , x = insets . left ; c < ncols ; x += col_widths [ c ] + hgap , c ++ , i ++ )
if ( i < ncomponents )
parent . getComponent ( i ) . setBounds ( x , y , col_widths [ c ] , row_heights [ r ] ) ;","synchronized ( parent . getTreeLock ( ) )
update ( parent ) ;
int ncomponents = parent . getComponentCount ( ) ;
if ( ncomponents == 0 )
return ;
int total_height = 0 ;
for ( int r = 0 , i = 0 ; r < nrows ; r ++ )
for ( int c = 0 ; c < ncols ; c ++ , i ++ )
if ( i < ncomponents )
Dimension d = parent . getComponent ( i ) . getPreferredSize ( ) ;
row_heights [ r ] = Math . max ( row_heights [ r ] , d . height ) ;
col_widths [ c ] = Math . max ( col_widths [ c ] , d . width ) ;
else
break ;
total_height += row_heights [ r ] ;
int total_width = 0 ;
for ( int c = 0 ; c < ncols ; c ++ )
total_width += col_widths [ c ] ;
Dimension parent_size = parent . getSize ( ) ;
Insets insets = parent . getInsets ( ) ;
int free_height = parent_size . height - insets . top - insets . bottom - ( nrows - 1 ) * vgap ;
int free_width = parent_size . width - insets . left - insets . right - ( ncols - 1 ) * hgap ;
if ( total_height != free_height )
double dy = ( double ) free_height / ( double ) total_height ;
for ( int r = 0 ; r < nrows ; r ++ )
row_heights [ r ] = ( int ) ( ( double ) row_heights [ r ] * dy ) ;
if ( total_width != free_width )
double dx = ( ( double ) free_width ) / ( ( double ) total_width ) ;
for ( int c = 0 ; c < ncols ; c ++ )
col_widths [ c ] = ( int ) ( ( double ) col_widths [ c ] * dx ) ;
for ( int r = 0 , y = insets . top , i = 0 ; r < nrows ; y += row_heights [ r ] + vgap , r ++ )
for ( int c = 0 , x = insets . left ; c < ncols ; x += col_widths [ c ] + hgap , c ++ , i ++ )
if ( i < ncomponents )
parent . getComponent ( i ) . setBounds ( x , y , col_widths [ c ] , row_heights [ r ] ) ;",Type 1
15-1-2,src,bsh,Primitive,doubleBinaryOperation,423,475,src,bsh,Primitive,floatBinaryOperation,485,537,"switch ( kind )
case LT :
case LTX :
return new Boolean ( lhs < rhs ) ;
case GT :
case GTX :
return new Boolean ( lhs > rhs ) ;
case EQ :
return new Boolean ( lhs == rhs ) ;
case LE :
case LEX :
return new Boolean ( lhs <= rhs ) ;
case GE :
case GEX :
return new Boolean ( lhs >= rhs ) ;
case NE :
return new Boolean ( lhs != rhs ) ;
case PLUS :
return new Double ( lhs + rhs ) ;
case MINUS :
return new Double ( lhs - rhs ) ;
case STAR :
return new Double ( lhs * rhs ) ;
case SLASH :
return new Double ( lhs / rhs ) ;
case MOD :
return new Double ( lhs % rhs ) ;
case LSHIFT :
case LSHIFTX :
case RSIGNEDSHIFT :
case RSIGNEDSHIFTX :
case RUNSIGNEDSHIFT :
case RUNSIGNEDSHIFTX :
throw new UtilEvalError ( ""Can't shift doubles"" ) ;
default :
throw new InterpreterError ( ""Unimplemented binary double operator"" ) ;","switch ( kind )
case LT :
case LTX :
return new Boolean ( lhs < rhs ) ;
case GT :
case GTX :
return new Boolean ( lhs > rhs ) ;
case EQ :
return new Boolean ( lhs == rhs ) ;
case LE :
case LEX :
return new Boolean ( lhs <= rhs ) ;
case GE :
case GEX :
return new Boolean ( lhs >= rhs ) ;
case NE :
return new Boolean ( lhs != rhs ) ;
case PLUS :
return new Float ( lhs + rhs ) ;
case MINUS :
return new Float ( lhs - rhs ) ;
case STAR :
return new Float ( lhs * rhs ) ;
case SLASH :
return new Float ( lhs / rhs ) ;
case MOD :
return new Float ( lhs % rhs ) ;
case LSHIFT :
case LSHIFTX :
case RSIGNEDSHIFT :
case RSIGNEDSHIFTX :
case RUNSIGNEDSHIFT :
case RUNSIGNEDSHIFTX :
throw new UtilEvalError ( ""Can't shift floats "" ) ;
default :
throw new InterpreterError ( ""Unimplemented binary float operator"" ) ;",Type 2
18-1-2,src,bsh,ParseException,add_escapes,221,263,src,bsh,TokenMgrError,addEscapes,40,82,"StringBuffer retval = new StringBuffer ( ) ;
char ch ;
for ( int i = 0 ; i < str . length ( ) ; i ++ )
switch ( str . charAt ( i ) )
case 0 :
continue ;
case '\b' :
retval . append ( ""\\b"" ) ;
continue ;
case '\t' :
retval . append ( ""\\t"" ) ;
continue ;
case '\n' :
retval . append ( ""\\n"" ) ;
continue ;
case '\f' :
retval . append ( ""\\f"" ) ;
continue ;
case '\r' :
retval . append ( ""\\r"" ) ;
continue ;
case '\""' :
retval . append ( ""\\\"""" ) ;
continue ;
case '\'' :
retval . append ( ""\\\'"" ) ;
continue ;
case '\\' :
retval . append ( ""\\\\"" ) ;
continue ;
default :
if ( ( ch = str . charAt ( i ) ) < 0x20 || ch > 0x7e )
String s = ""0000"" + Integer . toString ( ch , 16 ) ;
retval . append ( ""\\u"" + s . substring ( s . length ( ) - 4 , s . length ( ) ) ) ;
else
retval . append ( ch ) ;
continue ;
return retval . toString ( ) ;","StringBuffer retval = new StringBuffer ( ) ;
char ch ;
for ( int i = 0 ; i < str . length ( ) ; i ++ )
switch ( str . charAt ( i ) )
case 0 :
continue ;
case '\b' :
retval . append ( ""\\b"" ) ;
continue ;
case '\t' :
retval . append ( ""\\t"" ) ;
continue ;
case '\n' :
retval . append ( ""\\n"" ) ;
continue ;
case '\f' :
retval . append ( ""\\f"" ) ;
continue ;
case '\r' :
retval . append ( ""\\r"" ) ;
continue ;
case '\""' :
retval . append ( ""\\\"""" ) ;
continue ;
case '\'' :
retval . append ( ""\\\'"" ) ;
continue ;
case '\\' :
retval . append ( ""\\\\"" ) ;
continue ;
default :
if ( ( ch = str . charAt ( i ) ) < 0x20 || ch > 0x7e )
String s = ""0000"" + Integer . toString ( ch , 16 ) ;
retval . append ( ""\\u"" + s . substring ( s . length ( ) - 4 , s . length ( ) ) ) ;
else
retval . append ( ch ) ;
continue ;
return retval . toString ( ) ;",Type 1
19-1-2,src,org.gjt.sp.jedit,TextUtilities,findMatchingBracket,130,169,src,org.gjt.sp.jedit,TextUtilities,findMatchingBracket,176,217,"char ch = lineText . array [ lineText . offset + i ] ;
if ( ch == c )
if ( ! haveTokens )
tokenHandler . init ( ) ;
buffer . markTokens ( line , tokenHandler ) ;
haveTokens = true ;
if ( getTokenAtOffset ( tokenHandler . getTokens ( ) , i ) . id == idOfBracket )
count ++ ;
else if ( ch == cprime )
if ( ! haveTokens )
tokenHandler . init ( ) ;
buffer . markTokens ( line , tokenHandler ) ;
haveTokens = true ;
if ( getTokenAtOffset ( tokenHandler . getTokens ( ) , i ) . id == idOfBracket )
count -- ;
if ( count == 0 )
return buffer . getLineStartOffset ( line ) + i ;","char ch = lineText . array [ lineText . offset + i ] ;
if ( ch == c )
if ( ! haveTokens )
tokenHandler . init ( ) ;
buffer . markTokens ( line , tokenHandler ) ;
haveTokens = true ;
if ( getTokenAtOffset ( tokenHandler . getTokens ( ) , i ) . id == idOfBracket )
count ++ ;
else if ( ch == cprime )
if ( ! haveTokens )
tokenHandler . init ( ) ;
buffer . markTokens ( line , tokenHandler ) ;
haveTokens = true ;
if ( getTokenAtOffset ( tokenHandler . getTokens ( ) , i ) . id == idOfBracket )
count -- ;
if ( count == 0 )
return buffer . getLineStartOffset ( line ) + i ;",Type 1
20-1-2,src,org.gjt.sp.jedit.gui,PanelWindowContainer,getWrappedDimension,708,749,src,org.gjt.sp.jedit.gui,PanelWindowContainer,preferredLayoutSize,768,809,"if ( position . equals ( DockableWindowManager . TOP ) || position . equals ( DockableWindowManager . BOTTOM ) )
int width = dimension - insets . right ;
int rowHeight = Math . max ( dim . height , closeBox . getPreferredSize ( ) . width ) ;
int x = rowHeight * 2 + insets . left ;
Dimension returnValue = new Dimension ( 0 , rowHeight + insets . top + insets . bottom ) ;
for ( int i = 2 ; i < comp . length ; i ++ )
int btnWidth = comp [ i ] . getPreferredSize ( ) . width ;
if ( btnWidth + x > width )
returnValue . height += rowHeight ;
x = insets . left ;
x += btnWidth ;

return returnValue . height ;
else
int height = dimension - insets . bottom ;
int colWidth = Math . max ( dim . width , closeBox . getPreferredSize ( ) . height ) ;
int y = colWidth * 2 + insets . top ;
Dimension returnValue = new Dimension ( colWidth + insets . left + insets . right , 0 ) ;
for ( int i = 2 ; i < comp . length ; i ++ )
int btnHeight = comp [ i ] . getPreferredSize ( ) . height ;
if ( btnHeight + y > height )
returnValue . width += colWidth ;
y = insets . top ;
y += btnHeight ;

return returnValue . width ;","if ( position . equals ( DockableWindowManager . TOP ) || position . equals ( DockableWindowManager . BOTTOM ) )
int width = parent . getWidth ( ) - insets . right ;
int rowHeight = Math . max ( dim . height , closeBox . getPreferredSize ( ) . width ) ;
int x = rowHeight * 2 + insets . left ;
Dimension returnValue = new Dimension ( 0 , rowHeight + insets . top + insets . bottom ) ;
for ( int i = 2 ; i < comp . length ; i ++ )
int btnWidth = comp [ i ] . getPreferredSize ( ) . width ;
if ( btnWidth + x > width )
returnValue . height += rowHeight ;
x = insets . left ;
x += btnWidth ;
return returnValue ;

else
int height = parent . getHeight ( ) - insets . bottom ;
int colWidth = Math . max ( dim . width , closeBox . getPreferredSize ( ) . height ) ;
int y = colWidth * 2 + insets . top ;
Dimension returnValue = new Dimension ( colWidth + insets . left + insets . right , 0 ) ;
for ( int i = 2 ; i < comp . length ; i ++ )
int btnHeight = comp [ i ] . getPreferredSize ( ) . height ;
if ( btnHeight + y > height )
returnValue . width += colWidth ;
y = insets . top ;
y += btnHeight ;
return returnValue ;
",Type 2
