Pair ID,Source Folder 1,Package 1,Class 1,Method 1,Start Line 1,End Line 1,Source Folder 2,Package 2,Class 2,Method 2,Start Line 2,End Line 2,Left Code,Right Code,Clone Type
10/1/02,src,org.apache.jmeter.protocol.http.gui,AuthPanel,actionPerformed,150,236,src,org.apache.jmeter.protocol.http.gui,HeaderPanel,actionPerformed,135,220,"String action = e . getActionCommand ( ) ;
if ( action . equals ( DELETE_COMMAND ) )
if ( tableModel . getRowCount ( ) > 0 )
if ( authTable . isEditing ( ) )
TableCellEditor cellEditor = authTable . getCellEditor ( authTable . getEditingRow ( ) , authTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = authTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
authTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;
else if ( action . equals ( ADD_COMMAND ) )
if ( authTable . isEditing ( ) )
TableCellEditor cellEditor = authTable . getCellEditor ( authTable . getEditingRow ( ) , authTable . getEditingColumn ( ) ) ;
cellEditor . stopCellEditing ( ) ;
tableModel . addNewRow ( ) ;
tableModel . fireTableDataChanged ( ) ;
if ( ! deleteButton . isEnabled ( ) )
deleteButton . setEnabled ( true ) ;
if ( ! saveButton . isEnabled ( ) )
saveButton . setEnabled ( true ) ;
int rowToSelect = tableModel . getRowCount ( ) - 1 ;
authTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;
else if ( action . equals ( LOAD_COMMAND ) )
try
final String [ ] _txt = { "".txt"" } ;
final JFileChooser dialog = FileDialoger . promptToOpenFile ( _txt ) ;
if ( dialog != null )
tableModel . manager . addFile ( dialog . getSelectedFile ( ) . getAbsolutePath ( ) ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) > 0 )
deleteButton . setEnabled ( true ) ;
saveButton . setEnabled ( true ) ;
else if ( action . equals ( SAVE_COMMAND ) )
try
final JFileChooser chooser = FileDialoger . promptToSaveFile ( ""auth.txt"" ) ;
if ( chooser != null )
tableModel . manager . save ( chooser . getSelectedFile ( ) . getAbsolutePath ( ) ) ;","String action = e . getActionCommand ( ) ;
if ( action . equals ( DELETE_COMMAND ) )
if ( tableModel . getRowCount ( ) > 0 )
if ( headerTable . isEditing ( ) )
TableCellEditor cellEditor = headerTable . getCellEditor ( headerTable . getEditingRow ( ) , headerTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = headerTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
headerTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;
else if ( action . equals ( ADD_COMMAND ) )
if ( headerTable . isEditing ( ) )
TableCellEditor cellEditor = headerTable . getCellEditor ( headerTable . getEditingRow ( ) , headerTable . getEditingColumn ( ) ) ;
cellEditor . stopCellEditing ( ) ;
tableModel . addNewRow ( ) ;
tableModel . fireTableDataChanged ( ) ;
if ( ! deleteButton . isEnabled ( ) )
deleteButton . setEnabled ( true ) ;
if ( ! saveButton . isEnabled ( ) )
saveButton . setEnabled ( true ) ;
int rowToSelect = tableModel . getRowCount ( ) - 1 ;
headerTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;
else if ( action . equals ( LOAD_COMMAND ) )
try

final JFileChooser chooser = FileDialoger . promptToOpenFile ( ) ;
if ( chooser != null )
headerManager . addFile ( chooser . getSelectedFile ( ) . getAbsolutePath ( ) ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) > 0 )
deleteButton . setEnabled ( true ) ;
saveButton . setEnabled ( true ) ;
else if ( action . equals ( SAVE_COMMAND ) )
try
final JFileChooser chooser = FileDialoger . promptToSaveFile ( null ) ;
if ( chooser != null )
headerManager . save ( chooser . getSelectedFile ( ) . getAbsolutePath ( ) ) ;",Type 3
11/1/02,src,org.apache.jmeter.protocol.http.gui,AuthPanel,actionPerformed,153,236,src,org.apache.jmeter.protocol.http.gui,HeaderPanel,actionPerformed,135,220,"
if ( action . equals ( DELETE_COMMAND ) )
if ( tableModel . getRowCount ( ) > 0 )
if ( authTable . isEditing ( ) )
TableCellEditor cellEditor = authTable . getCellEditor ( authTable . getEditingRow ( ) , authTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = authTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
authTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;
else if ( action . equals ( ADD_COMMAND ) )
if ( authTable . isEditing ( ) )
TableCellEditor cellEditor = authTable . getCellEditor ( authTable . getEditingRow ( ) , authTable . getEditingColumn ( ) ) ;
cellEditor . stopCellEditing ( ) ;
tableModel . addNewRow ( ) ;
tableModel . fireTableDataChanged ( ) ;
if ( ! deleteButton . isEnabled ( ) )
deleteButton . setEnabled ( true ) ;
if ( ! saveButton . isEnabled ( ) )
saveButton . setEnabled ( true ) ;
int rowToSelect = tableModel . getRowCount ( ) - 1 ;
authTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;
else if ( action . equals ( LOAD_COMMAND ) )
try
final String [ ] _txt = { "".txt"" } ;
final JFileChooser dialog = FileDialoger . promptToOpenFile ( _txt ) ;
if ( dialog != null )
tableModel . manager . addFile ( dialog . getSelectedFile ( ) . getAbsolutePath ( ) ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) > 0 )
deleteButton . setEnabled ( true ) ;
saveButton . setEnabled ( true ) ;
else if ( action . equals ( SAVE_COMMAND ) )
try
final JFileChooser chooser = FileDialoger . promptToSaveFile ( ""auth.txt"" ) ;
if ( chooser != null )
tableModel . manager . save ( chooser . getSelectedFile ( ) . getAbsolutePath ( ) ) ;","String action = e . getActionCommand ( ) ;
if ( action . equals ( DELETE_COMMAND ) )
if ( tableModel . getRowCount ( ) > 0 )
if ( headerTable . isEditing ( ) )
TableCellEditor cellEditor = headerTable . getCellEditor ( headerTable . getEditingRow ( ) , headerTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = headerTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
headerTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;
else if ( action . equals ( ADD_COMMAND ) )
if ( headerTable . isEditing ( ) )
TableCellEditor cellEditor = headerTable . getCellEditor ( headerTable . getEditingRow ( ) , headerTable . getEditingColumn ( ) ) ;
cellEditor . stopCellEditing ( ) ;
tableModel . addNewRow ( ) ;
tableModel . fireTableDataChanged ( ) ;
if ( ! deleteButton . isEnabled ( ) )
deleteButton . setEnabled ( true ) ;
if ( ! saveButton . isEnabled ( ) )
saveButton . setEnabled ( true ) ;
int rowToSelect = tableModel . getRowCount ( ) - 1 ;
headerTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;
else if ( action . equals ( LOAD_COMMAND ) )
try

final JFileChooser chooser = FileDialoger . promptToOpenFile ( ) ;
if ( chooser != null )
headerManager . addFile ( chooser . getSelectedFile ( ) . getAbsolutePath ( ) ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) > 0 )
deleteButton . setEnabled ( true ) ;
saveButton . setEnabled ( true ) ;
else if ( action . equals ( SAVE_COMMAND ) )
try
final JFileChooser chooser = FileDialoger . promptToSaveFile ( null ) ;
if ( chooser != null )
headerManager . save ( chooser . getSelectedFile ( ) . getAbsolutePath ( ) ) ;",Type 3
29-1-2,src,org.apache.jmeter.report.gui,BarChartGui,init,72,117,src,org.apache.jmeter.report.gui,LineGraphGui,init,73,117,"setLayout ( new BorderLayout ( 10 , 10 ) ) ;
setBorder ( makeBorder ( ) ) ;
setBackground ( Color . white ) ;
JPanel pane = new JPanel ( ) ;
pane . setLayout ( new BorderLayout ( 10 , 10 ) ) ;
pane . setBackground ( Color . white ) ;
pane . add ( this . getNamePanel ( ) , BorderLayout . NORTH ) ;
VerticalPanel options = new VerticalPanel ( Color . white ) ;
xAxisLabel . setBackground ( Color . white ) ;
yAxisLabel . setBackground ( Color . white ) ;
JLabel xLabel = new JLabel ( JMeterUtils . getResString ( ""report_chart_x_axis"" ) ) ;
HorizontalPanel xpanel = new HorizontalPanel ( Color . white ) ;
xLabel . setBorder ( new EmptyBorder ( 5 , 2 , 5 , 2 ) ) ;
xItems . setBackground ( Color . white ) ;
xItems . setValues ( AbstractTable . xitems ) ;
xpanel . add ( xLabel ) ;
xpanel . add ( xItems ) ;
options . add ( xpanel ) ;
JLabel xALabel = new JLabel ( JMeterUtils . getResString ( ""report_chart_x_axis_label"" ) ) ;
HorizontalPanel xApanel = new HorizontalPanel ( Color . white ) ;
xALabel . setBorder ( new EmptyBorder ( 5 , 2 , 5 , 2 ) ) ;
xAxisLabel . setBackground ( Color . white ) ;
xAxisLabel . setValues ( AbstractChart . X_LABELS ) ;
xApanel . add ( xALabel ) ;
xApanel . add ( xAxisLabel ) ;
options . add ( xApanel ) ;
JLabel yLabel = new JLabel ( JMeterUtils . getResString ( ""report_chart_y_axis"" ) ) ;
HorizontalPanel ypanel = new HorizontalPanel ( Color . white ) ;
yLabel . setBorder ( new EmptyBorder ( 5 , 2 , 5 , 2 ) ) ;
yItems . setBackground ( Color . white ) ;
yItems . setValues ( AbstractTable . items ) ;
ypanel . add ( yLabel ) ;
ypanel . add ( yItems ) ;
options . add ( ypanel ) ;
options . add ( yAxisLabel ) ;
options . add ( caption ) ;
options . add ( url ) ;
add ( pane , BorderLayout . NORTH ) ;
add ( options , BorderLayout . CENTER ) ;","setLayout ( new BorderLayout ( 10 , 10 ) ) ;
setBorder ( makeBorder ( ) ) ;
setBackground ( Color . white ) ;
JPanel pane = new JPanel ( ) ;
pane . setLayout ( new BorderLayout ( 10 , 10 ) ) ;
pane . setBackground ( Color . white ) ;
pane . add ( this . getNamePanel ( ) , BorderLayout . NORTH ) ;
VerticalPanel options = new VerticalPanel ( Color . white ) ;

yAxisLabel . setBackground ( Color . white ) ;
JLabel xLabel = new JLabel ( JMeterUtils . getResString ( ""report_chart_x_axis"" ) ) ;
HorizontalPanel xpanel = new HorizontalPanel ( Color . white ) ;
xLabel . setBorder ( new EmptyBorder ( 5 , 2 , 5 , 2 ) ) ;
xItems . setBackground ( Color . white ) ;
xItems . setValues ( AbstractTable . xitems ) ;
xpanel . add ( xLabel ) ;
xpanel . add ( xItems ) ;
options . add ( xpanel ) ;
JLabel xALabel = new JLabel ( JMeterUtils . getResString ( ""report_chart_x_axis_label"" ) ) ;
HorizontalPanel xApanel = new HorizontalPanel ( Color . white ) ;
xALabel . setBorder ( new EmptyBorder ( 5 , 2 , 5 , 2 ) ) ;
xAxisLabel . setBackground ( Color . white ) ;
xAxisLabel . setValues ( AbstractChart . X_LABELS ) ;
xApanel . add ( xALabel ) ;
xApanel . add ( xAxisLabel ) ;
options . add ( xApanel ) ;
JLabel yLabel = new JLabel ( JMeterUtils . getResString ( ""report_chart_y_axis"" ) ) ;
HorizontalPanel ypanel = new HorizontalPanel ( Color . white ) ;
yLabel . setBorder ( new EmptyBorder ( 5 , 2 , 5 , 2 ) ) ;
yItems . setBackground ( Color . white ) ;
yItems . setValues ( AbstractTable . items ) ;
ypanel . add ( yLabel ) ;
ypanel . add ( yItems ) ;
options . add ( ypanel ) ;
options . add ( yAxisLabel ) ;
options . add ( caption ) ;
options . add ( urls ) ;
add ( pane , BorderLayout . NORTH ) ;
add ( options , BorderLayout . CENTER ) ;",Type 3
38-1-2,src,org.apache.jmeter.gui.action,ActionRouter,populateCommandMap,258,296,src,org.apache.jmeter.report.gui.action,ReportActionRouter,populateCommandMap,251,290,"listClasses = ClassFinder . findClassesThatExtend ( JMeterUtils . getSearchPaths ( ) , new Class [ ] { Class . forName ( ""org.apache.jmeter.gui.action.Command"" ) } ) ;
commands = new HashMap ( listClasses . size ( ) ) ;
if ( listClasses . size ( ) == 0 )
log . fatalError ( ""!!!!!Uh-oh, didn't find any action handlers!!!!!"" ) ;
throw new JMeterError ( ""No action handlers found - check JMeterHome and libraries"" ) ;
iterClasses = listClasses . iterator ( ) ;
while ( iterClasses . hasNext ( ) )
String strClassName = ( String ) iterClasses . next ( ) ;
if ( strClassName . startsWith ( ""org.apache.jmeter.gui"" ) )
commandClass = Class . forName ( strClassName ) ;
if ( ! Modifier . isAbstract ( commandClass . getModifiers ( ) ) )
command = ( Command ) commandClass . newInstance ( ) ;
Iterator iter = command . getActionNames ( ) . iterator ( ) ;
while ( iter . hasNext ( ) )
String commandName = ( String ) iter . next ( ) ;
Set commandObjects = ( Set ) commands . get ( commandName ) ;
if ( commandObjects == null )
commandObjects = new HashSet ( ) ;
commands . put ( commandName , commandObjects ) ;
commandObjects . add ( command ) ;","listClasses = ClassFinder . findClassesThatExtend ( JMeterUtils . getSearchPaths ( ) , new Class [ ] { Class . forName ( ""org.apache.jmeter.gui.action.Command"" ) } ) ;
commands = new HashMap ( listClasses . size ( ) ) ;
if ( listClasses . size ( ) == 0 )
log . warn ( ""!!!!!Uh-oh, didn't find any action handlers!!!!!"" ) ;

iterClasses = listClasses . iterator ( ) ;
while ( iterClasses . hasNext ( ) )
String strClassName = ( String ) iterClasses . next ( ) ;
if ( strClassName . startsWith ( ""org.apache.jmeter.report.gui.action"" ) )
commandClass = Class . forName ( strClassName ) ;
if ( ! Modifier . isAbstract ( commandClass . getModifiers ( ) ) )
command = ( Command ) commandClass . newInstance ( ) ;
Iterator iter = command . getActionNames ( ) . iterator ( ) ;
while ( iter . hasNext ( ) )
String commandName = ( String ) iter . next ( ) ;
Set commandObjects = ( Set ) commands . get ( commandName ) ;
if ( commandObjects == null )
commandObjects = new HashSet ( ) ;
commands . put ( commandName , commandObjects ) ;
commandObjects . add ( command ) ;",Type 3
41-1-2,src,org.apache.jmeter.gui.action,ActionRouter,populateCommandMap,263,296,src,org.apache.jmeter.report.gui.action,ReportActionRouter,populateCommandMap,257,290,"listClasses = ClassFinder . findClassesThatExtend ( JMeterUtils . getSearchPaths ( ) , new Class [ ] { Class . forName ( ""org.apache.jmeter.gui.action.Command"" ) } ) ;
commands = new HashMap ( listClasses . size ( ) ) ;
if ( listClasses . size ( ) == 0 )
log . fatalError ( ""!!!!!Uh-oh, didn't find any action handlers!!!!!"" ) ;
throw new JMeterError ( ""No action handlers found - check JMeterHome and libraries"" ) ;
iterClasses = listClasses . iterator ( ) ;
while ( iterClasses . hasNext ( ) )
String strClassName = ( String ) iterClasses . next ( ) ;
if ( strClassName . startsWith ( ""org.apache.jmeter.gui"" ) )
commandClass = Class . forName ( strClassName ) ;
if ( ! Modifier . isAbstract ( commandClass . getModifiers ( ) ) )
command = ( Command ) commandClass . newInstance ( ) ;
Iterator iter = command . getActionNames ( ) . iterator ( ) ;
while ( iter . hasNext ( ) )
String commandName = ( String ) iter . next ( ) ;
Set commandObjects = ( Set ) commands . get ( commandName ) ;
if ( commandObjects == null )
commandObjects = new HashSet ( ) ;
commands . put ( commandName , commandObjects ) ;
commandObjects . add ( command ) ;","listClasses = ClassFinder . findClassesThatExtend ( JMeterUtils . getSearchPaths ( ) , new Class [ ] { Class . forName ( ""org.apache.jmeter.gui.action.Command"" ) } ) ;
commands = new HashMap ( listClasses . size ( ) ) ;
if ( listClasses . size ( ) == 0 )
log . warn ( ""!!!!!Uh-oh, didn't find any action handlers!!!!!"" ) ;

iterClasses = listClasses . iterator ( ) ;
while ( iterClasses . hasNext ( ) )
String strClassName = ( String ) iterClasses . next ( ) ;
if ( strClassName . startsWith ( ""org.apache.jmeter.report.gui.action"" ) )
commandClass = Class . forName ( strClassName ) ;
if ( ! Modifier . isAbstract ( commandClass . getModifiers ( ) ) )
command = ( Command ) commandClass . newInstance ( ) ;
Iterator iter = command . getActionNames ( ) . iterator ( ) ;
while ( iter . hasNext ( ) )
String commandName = ( String ) iter . next ( ) ;
Set commandObjects = ( Set ) commands . get ( commandName ) ;
if ( commandObjects == null )
commandObjects = new HashSet ( ) ;
commands . put ( commandName , commandObjects ) ;
commandObjects . add ( command ) ;",Type 3
47-1-2,src,org.apache.jmeter.protocol.http.gui,AuthPanel,actionPerformed,154,185,src,org.apache.jmeter.protocol.http.gui,CookiePanel,actionPerformed,126,157,"if ( tableModel . getRowCount ( ) > 0 )
if ( authTable . isEditing ( ) )
TableCellEditor cellEditor = authTable . getCellEditor ( authTable . getEditingRow ( ) , authTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = authTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
authTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;","if ( tableModel . getRowCount ( ) > 0 )
if ( cookieTable . isEditing ( ) )
TableCellEditor cellEditor = cookieTable . getCellEditor ( cookieTable . getEditingRow ( ) , cookieTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = cookieTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
cookieTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;",Type 2
47-1-3,src,org.apache.jmeter.protocol.http.gui,AuthPanel,actionPerformed,154,185,src,org.apache.jmeter.protocol.http.gui,HeaderPanel,actionPerformed,139,170,"if ( tableModel . getRowCount ( ) > 0 )
if ( authTable . isEditing ( ) )
TableCellEditor cellEditor = authTable . getCellEditor ( authTable . getEditingRow ( ) , authTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = authTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
authTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;","if ( tableModel . getRowCount ( ) > 0 )
if ( headerTable . isEditing ( ) )
TableCellEditor cellEditor = headerTable . getCellEditor ( headerTable . getEditingRow ( ) , headerTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = headerTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
headerTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;",Type 2
47-2-3,src,org.apache.jmeter.protocol.http.gui,CookiePanel,actionPerformed,126,157,src,org.apache.jmeter.protocol.http.gui,HeaderPanel,actionPerformed,139,170,"if ( tableModel . getRowCount ( ) > 0 )
if ( cookieTable . isEditing ( ) )
TableCellEditor cellEditor = cookieTable . getCellEditor ( cookieTable . getEditingRow ( ) , cookieTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = cookieTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
cookieTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;","if ( tableModel . getRowCount ( ) > 0 )
if ( headerTable . isEditing ( ) )
TableCellEditor cellEditor = headerTable . getCellEditor ( headerTable . getEditingRow ( ) , headerTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = headerTable . getSelectedRow ( ) ;
if ( rowSelected != - 1 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteButton . setEnabled ( false ) ;
saveButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
headerTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;",Type 2
54-1-2,src,org.apache.jmeter.config.gui,ArgumentsPanel,deleteArgument,273,300,src,org.apache.jmeter.config.gui,SimpleConfigGui,deleteArgument,275,304,"if ( table . isEditing ( ) )
TableCellEditor cellEditor = table . getCellEditor ( table . getEditingRow ( ) , table . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = table . getSelectedRow ( ) ;
if ( rowSelected >= 0 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
delete . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
table . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;","if ( table . isEditing ( ) )
TableCellEditor cellEditor = table . getCellEditor ( table . getEditingRow ( ) , table . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = table . getSelectedRow ( ) ;
if ( rowSelected >= 0 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
delete . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
table . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;",Type 2
54-1-3,src,org.apache.jmeter.config.gui,ArgumentsPanel,deleteArgument,273,300,src,org.apache.jmeter.modifiers.gui,UserParametersGui,actionPerformed,241,267,"if ( table . isEditing ( ) )
TableCellEditor cellEditor = table . getCellEditor ( table . getEditingRow ( ) , table . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = table . getSelectedRow ( ) ;
if ( rowSelected >= 0 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
delete . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
table . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;","if ( paramTable . isEditing ( ) )
TableCellEditor cellEditor = paramTable . getCellEditor ( paramTable . getEditingRow ( ) , paramTable . getEditingColumn ( ) ) ;
cellEditor . cancelCellEditing ( ) ;
int rowSelected = paramTable . getSelectedRow ( ) ;
if ( rowSelected >= 0 )
tableModel . removeRow ( rowSelected ) ;
tableModel . fireTableDataChanged ( ) ;
if ( tableModel . getRowCount ( ) == 0 )
deleteRowButton . setEnabled ( false ) ;
else
int rowToSelect = rowSelected ;
if ( rowSelected >= tableModel . getRowCount ( ) )
rowToSelect = rowSelected - 1 ;
paramTable . setRowSelectionInterval ( rowToSelect , rowToSelect ) ;",Type 2
