Pair ID,Source Folder 1,Package 1,Class 1,Method 1,Start Line 1,End Line 1,Source Folder 2,Package 2,Class 2,Method 2,Start Line 2,End Line 2,Left Code,Right Code,Clone Type
4/1/02,src,org.jruby.compiler.impl,StandardInvocationCompiler,opElementAsgnWithOr,202,271,src,org.jruby.compiler.impl,StandardInvocationCompiler,opElementAsgnWithAnd,274,343,"methodCompiler . getScriptCompiler ( ) . getCacheCompiler ( ) . cacheCallSite ( methodCompiler , ""[]"" , CallType . FUNCTIONAL ) ;
methodCompiler . loadThreadContext ( ) ;
methodCompiler . loadSelf ( ) ;
receiver . call ( methodCompiler ) ;
args . call ( methodCompiler ) ;
method . dup2 ( ) ;
int argsLocal = methodCompiler . getVariableCompiler ( ) . grabTempLocal ( ) ;
methodCompiler . getVariableCompiler ( ) . setTempLocal ( argsLocal ) ;
int receiverLocal = methodCompiler . getVariableCompiler ( ) . grabTempLocal ( ) ;
methodCompiler . getVariableCompiler ( ) . setTempLocal ( receiverLocal ) ;
switch ( args . getArity ( ) )
case 1 :
method . invokevirtual ( p ( CallSite . class ) , ""call"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject . class ) ) ;
break ;
default :
method . invokevirtual ( p ( CallSite . class ) , ""call"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject [ ] . class ) ) ;
method . dup ( ) ;
methodCompiler . invokeIRubyObject ( ""isTrue"" , sig ( boolean . class ) ) ;
Label done = new Label ( ) ;
method . ifne ( done ) ;
method . pop ( ) ;
methodCompiler . loadThreadContext ( ) ;
methodCompiler . loadSelf ( ) ;
methodCompiler . getVariableCompiler ( ) . getTempLocal ( receiverLocal ) ;
methodCompiler . getVariableCompiler ( ) . getTempLocal ( argsLocal ) ;
valueCallback . call ( methodCompiler ) ;
methodCompiler . getScriptCompiler ( ) . getCacheCompiler ( ) . cacheCallSite ( methodCompiler , ""[]="" , CallType . FUNCTIONAL ) ;
switch ( args . getArity ( ) )
case 0 :
throw new NotCompilableException ( ""Op Element Asgn with zero-arity args"" ) ;
case 1 :
methodCompiler . invokeUtilityMethod ( ""opElementAsgnWithOrPartTwoOneArg"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject . class , IRubyObject . class , CallSite . class ) ) ;
break ;
case 2 :
methodCompiler . invokeUtilityMethod ( ""opElementAsgnWithOrPartTwoTwoArgs"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject [ ] . class , IRubyObject . class , CallSite . class ) ) ;
break ;
case 3 :
methodCompiler . invokeUtilityMethod ( ""opElementAsgnWithOrPartTwoThreeArgs"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject [ ] . class , IRubyObject . class , CallSite . class ) ) ;
break ;
default :
methodCompiler . invokeUtilityMethod ( ""opElementAsgnWithOrPartTwoNArgs"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject [ ] . class , IRubyObject . class , CallSite . class ) ) ;
break ;
method . label ( done ) ;
methodCompiler . getVariableCompiler ( ) . releaseTempLocal ( ) ;
methodCompiler . getVariableCompiler ( ) . releaseTempLocal ( ) ;","methodCompiler . getScriptCompiler ( ) . getCacheCompiler ( ) . cacheCallSite ( methodCompiler , ""[]"" , CallType . FUNCTIONAL ) ;
methodCompiler . loadThreadContext ( ) ;
methodCompiler . loadSelf ( ) ;
receiver . call ( methodCompiler ) ;
args . call ( methodCompiler ) ;
method . dup2 ( ) ;
int argsLocal = methodCompiler . getVariableCompiler ( ) . grabTempLocal ( ) ;
methodCompiler . getVariableCompiler ( ) . setTempLocal ( argsLocal ) ;
int receiverLocal = methodCompiler . getVariableCompiler ( ) . grabTempLocal ( ) ;
methodCompiler . getVariableCompiler ( ) . setTempLocal ( receiverLocal ) ;
switch ( args . getArity ( ) )
case 1 :
method . invokevirtual ( p ( CallSite . class ) , ""call"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject . class ) ) ;
break ;
default :
method . invokevirtual ( p ( CallSite . class ) , ""call"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject [ ] . class ) ) ;
method . dup ( ) ;
methodCompiler . invokeIRubyObject ( ""isTrue"" , sig ( boolean . class ) ) ;
Label done = new Label ( ) ;
method . ifeq ( done ) ;
method . pop ( ) ;
methodCompiler . loadThreadContext ( ) ;
methodCompiler . loadSelf ( ) ;
methodCompiler . getVariableCompiler ( ) . getTempLocal ( receiverLocal ) ;
methodCompiler . getVariableCompiler ( ) . getTempLocal ( argsLocal ) ;
valueCallback . call ( methodCompiler ) ;
methodCompiler . getScriptCompiler ( ) . getCacheCompiler ( ) . cacheCallSite ( methodCompiler , ""[]="" , CallType . FUNCTIONAL ) ;
switch ( args . getArity ( ) )
case 0 :
throw new NotCompilableException ( ""Op Element Asgn with zero-arity args"" ) ;
case 1 :
methodCompiler . invokeUtilityMethod ( ""opElementAsgnWithOrPartTwoOneArg"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject . class , IRubyObject . class , CallSite . class ) ) ;
break ;
case 2 :
methodCompiler . invokeUtilityMethod ( ""opElementAsgnWithOrPartTwoTwoArgs"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject [ ] . class , IRubyObject . class , CallSite . class ) ) ;
break ;
case 3 :
methodCompiler . invokeUtilityMethod ( ""opElementAsgnWithOrPartTwoThreeArgs"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject [ ] . class , IRubyObject . class , CallSite . class ) ) ;
break ;
default :
methodCompiler . invokeUtilityMethod ( ""opElementAsgnWithOrPartTwoNArgs"" , sig ( IRubyObject . class , ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject [ ] . class , IRubyObject . class , CallSite . class ) ) ;
break ;
method . label ( done ) ;
methodCompiler . getVariableCompiler ( ) . releaseTempLocal ( ) ;
methodCompiler . getVariableCompiler ( ) . releaseTempLocal ( ) ;",Type 2
19-1-2,src,org.jruby.compiler.impl,StandardInvocationCompiler,invokeAttrAssign,158,192,src,org.jruby.compiler.impl,StandardInvocationCompiler,invokeDynamic,464,475,"switch ( argsCallback . getArity ( ) )
case 1 :
signature = sig ( IRubyObject . class , IRubyObject . class , CallSite . class , IRubyObject . class , ThreadContext . class , IRubyObject . class ) ;
break ;
case 2 :
signature = sig ( IRubyObject . class , IRubyObject . class , CallSite . class , IRubyObject . class , IRubyObject . class , ThreadContext . class , IRubyObject . class ) ;
break ;
case 3 :
signature = sig ( IRubyObject . class , IRubyObject . class , CallSite . class , IRubyObject . class , IRubyObject . class , IRubyObject . class , ThreadContext . class , IRubyObject . class ) ;
break ;
default :
signature = sig ( IRubyObject . class , IRubyObject . class , CallSite . class , IRubyObject [ ] . class , ThreadContext . class , IRubyObject . class ) ;","switch ( argsCallback . getArity ( ) )
case 1 :
signature = sig ( IRubyObject . class , params ( ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject . class ) ) ;
break ;
case 2 :
signature = sig ( IRubyObject . class , params ( ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject . class , IRubyObject . class ) ) ;
break ;
case 3 :
signature = sig ( IRubyObject . class , params ( ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject . class , IRubyObject . class , IRubyObject . class ) ) ;
break ;
default :
signature = sig ( IRubyObject . class , params ( ThreadContext . class , IRubyObject . class , IRubyObject . class , IRubyObject [ ] . class ) ) ;",Type 2
21-1-2,src,org.jruby.compiler.impl,MethodBodyCompiler,endBody,97,130,src,org.jruby.compiler.impl,RootScopedBodyCompiler,endBody,95,121,"if ( specificArity )
method = new SkinnyMethodAdapter ( script . getClassVisitor ( ) . visitMethod ( ACC_PUBLIC | ACC_STATIC , methodName , StandardASMCompiler . getStaticMethodSignature ( script . getClassname ( ) , 4 ) , null , null ) ) ;
method . start ( ) ;
method . aload ( 1 ) ;
method . invokevirtual ( p ( ThreadContext . class ) , ""getRuntime"" , sig ( Ruby . class ) ) ;
method . aload ( 3 ) ;
method . pushInt ( scope . getRequiredArgs ( ) ) ;
method . pushInt ( scope . getRequiredArgs ( ) ) ;
method . invokestatic ( p ( Arity . class ) , ""checkArgumentCount"" , sig ( int . class , Ruby . class , IRubyObject [ ] . class , int . class , int . class ) ) ;
method . pop ( ) ;
loadThis ( ) ;
loadThreadContext ( ) ;
loadSelf ( ) ;
for ( int i = 0 ; i < scope . getRequiredArgs ( ) ; i ++ )
method . aload ( StandardASMCompiler . ARGS_INDEX ) ;
method . ldc ( i ) ;
method . arrayload ( ) ;
method . aload ( StandardASMCompiler . ARGS_INDEX + 1 ) ;
method . invokestatic ( script . getClassname ( ) , methodName , getSignature ( ) ) ;
method . areturn ( ) ;
method . end ( ) ;","if ( specificArity )
method = new SkinnyMethodAdapter ( script . getClassVisitor ( ) . visitMethod ( ACC_PUBLIC | ACC_STATIC , methodName , StandardASMCompiler . getStaticMethodSignature ( script . getClassname ( ) , 4 ) , null , null ) ) ;
method . start ( ) ;
method . aload ( 1 ) ;
method . invokevirtual ( p ( ThreadContext . class ) , ""getRuntime"" , sig ( Ruby . class ) ) ;
method . aload ( 3 ) ;
method . pushInt ( scope . getRequiredArgs ( ) ) ;
method . pushInt ( scope . getRequiredArgs ( ) ) ;
method . invokestatic ( p ( Arity . class ) , ""checkArgumentCount"" , sig ( int . class , Ruby . class , IRubyObject [ ] . class , int . class , int . class ) ) ;
method . pop ( ) ;
loadThis ( ) ;
loadThreadContext ( ) ;
loadSelf ( ) ;
for ( int i = 0 ; i < scope . getRequiredArgs ( ) ; i ++ )
method . aload ( StandardASMCompiler . ARGS_INDEX ) ;
method . ldc ( i ) ;
method . arrayload ( ) ;
method . aload ( StandardASMCompiler . ARGS_INDEX + 1 ) ;
method . invokestatic ( script . getClassname ( ) , methodName , getSignature ( ) ) ;
method . areturn ( ) ;
method . end ( ) ;",Type 1
23-1-2,src,org.jruby.compiler.impl,HeapBasedVariableCompiler,beginClass,109,141,src,org.jruby.compiler.impl,HeapBasedVariableCompiler,beginClosure,158,190,"if ( scope != null && scope . getNumberOfVariables ( ) >= 1 )
switch ( scope . getNumberOfVariables ( ) )
case 1 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , false ) ;
break ;
case 2 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , false ) ;
break ;
case 3 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , false ) ;
break ;
case 4 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , true ) ;
assignLocalVariable ( 3 , false ) ;
break ;
default :
method . aload ( methodCompiler . getVarsArrayIndex ( ) ) ;
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , true ) ;
assignLocalVariable ( 3 , false ) ;
methodCompiler . loadRuntime ( ) ;
methodCompiler . invokeUtilityMethod ( ""fillNil"" , sig ( void . class , IRubyObject [ ] . class , Ruby . class ) ) ;","if ( scope != null && scope . getNumberOfVariables ( ) >= 1 )
switch ( scope . getNumberOfVariables ( ) )
case 1 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , false ) ;
break ;
case 2 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , false ) ;
break ;
case 3 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , false ) ;
break ;
case 4 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , true ) ;
assignLocalVariable ( 3 , false ) ;
break ;
default :
method . aload ( methodCompiler . getVarsArrayIndex ( ) ) ;
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , true ) ;
assignLocalVariable ( 3 , false ) ;
methodCompiler . loadRuntime ( ) ;
methodCompiler . invokeUtilityMethod ( ""fillNil"" , sig ( void . class , IRubyObject [ ] . class , Ruby . class ) ) ;",Type 1
25-1-2,src,org.jruby.compiler.impl,HeapBasedVariableCompiler,beginClass,110,141,src,org.jruby.compiler.impl,HeapBasedVariableCompiler,beginClosure,159,190,"switch ( scope . getNumberOfVariables ( ) )
case 1 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , false ) ;
break ;
case 2 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , false ) ;
break ;
case 3 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , false ) ;
break ;
case 4 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , true ) ;
assignLocalVariable ( 3 , false ) ;
break ;
default :
method . aload ( methodCompiler . getVarsArrayIndex ( ) ) ;
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , true ) ;
assignLocalVariable ( 3 , false ) ;
methodCompiler . loadRuntime ( ) ;
methodCompiler . invokeUtilityMethod ( ""fillNil"" , sig ( void . class , IRubyObject [ ] . class , Ruby . class ) ) ;","switch ( scope . getNumberOfVariables ( ) )
case 1 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , false ) ;
break ;
case 2 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , false ) ;
break ;
case 3 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , false ) ;
break ;
case 4 :
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , true ) ;
assignLocalVariable ( 3 , false ) ;
break ;
default :
method . aload ( methodCompiler . getVarsArrayIndex ( ) ) ;
methodCompiler . loadNil ( ) ;
assignLocalVariable ( 0 , true ) ;
assignLocalVariable ( 1 , true ) ;
assignLocalVariable ( 2 , true ) ;
assignLocalVariable ( 3 , false ) ;
methodCompiler . loadRuntime ( ) ;
methodCompiler . invokeUtilityMethod ( ""fillNil"" , sig ( void . class , IRubyObject [ ] . class , Ruby . class ) ) ;",Type 1
26-1-2,src,org.jruby.evaluator,AssignmentVisitor,multiAssign,50,79,src,org.jruby.evaluator,AssignmentVisitor,multiAssign,82,113,"int valueLen = value . getLength ( ) ;
int varLen = node . getPre ( ) == null ? 0 : node . getPre ( ) . size ( ) ;
int j = 0 ;
Node restArgument = node . getRest ( ) ;







if ( restArgument != null )
if ( varLen < valueLen )
restArgument . assign ( runtime , context , self , value . subseqLight ( varLen , valueLen ) , Block . NULL_BLOCK , checkArity ) ;
else
restArgument . assign ( runtime , context , self , RubyArray . newArrayLight ( runtime , 0 ) , Block . NULL_BLOCK , checkArity ) ;
else if ( checkArity && valueLen < varLen )
else if ( checkArity && valueLen < varLen )
throw runtime . newArgumentError ( ""Wrong # of arguments ("" + valueLen + "" for "" + varLen + "")"" ) ;

throw runtime . newArgumentError ( ""Wrong # of arguments ("" + valueLen + "" for "" + varLen + "")"" ) ;
while ( j < varLen )
node . getPre ( ) . get ( j ++ ) . assign ( runtime , context , self , runtime . getNil ( ) , Block . NULL_BLOCK , checkArity ) ;
return value ;","int valueLen = value . getLength ( ) ;
int varLen = node . getHeadNode ( ) == null ? 0 : node . getHeadNode ( ) . size ( ) ;
int j = 0 ;
Node argsNode = node . getArgsNode ( ) ;
if ( argsNode != null )
if ( argsNode . getNodeType ( ) == NodeType . STARNODE )
else if ( varLen < valueLen )
argsNode . assign ( runtime , context , self , value . subseqLight ( varLen , valueLen ) , Block . NULL_BLOCK , checkArity ) ;
else
argsNode . assign ( runtime , context , self , RubyArray . newArrayLight ( runtime , 0 ) , Block . NULL_BLOCK , checkArity ) ;
else if ( checkArity && valueLen < varLen )






else if ( checkArity && valueLen < varLen )

throw runtime . newArgumentError ( ""Wrong # of arguments ("" + valueLen + "" for "" + varLen + "")"" ) ;
throw runtime . newArgumentError ( ""Wrong # of arguments ("" + valueLen + "" for "" + varLen + "")"" ) ;
while ( j < varLen )
node . getHeadNode ( ) . get ( j ++ ) . assign ( runtime , context , self , runtime . getNil ( ) , Block . NULL_BLOCK , checkArity ) ;
return value ;",Type 3
27-1-2,src,org.jruby.compiler.impl,StandardInvocationCompiler,invokeOpAsgnWithOr,573,603,src,org.jruby.compiler.impl,StandardInvocationCompiler,invokeOpAsgnWithAnd,606,636,"receiverCallback . call ( methodCompiler ) ;
method . dup ( ) ;
methodCompiler . loadThreadContext ( ) ;
methodCompiler . loadSelf ( ) ;
methodCompiler . getScriptCompiler ( ) . getCacheCompiler ( ) . cacheCallSite ( methodCompiler , attrName , CallType . FUNCTIONAL ) ;
methodCompiler . invokeUtilityMethod ( ""preOpAsgnWithOrAnd"" , sig ( IRubyObject . class , IRubyObject . class , ThreadContext . class , IRubyObject . class , CallSite . class ) ) ;
Label done = new Label ( ) ;
Label isTrue = new Label ( ) ;
method . dup ( ) ;
methodCompiler . invokeIRubyObject ( ""isTrue"" , sig ( boolean . class ) ) ;
method . ifne ( isTrue ) ;
method . pop ( ) ;
argsCallback . call ( methodCompiler ) ;
methodCompiler . loadThreadContext ( ) ;
methodCompiler . loadSelf ( ) ;
methodCompiler . getScriptCompiler ( ) . getCacheCompiler ( ) . cacheCallSite ( methodCompiler , attrAsgnName , CallType . NORMAL ) ;
methodCompiler . invokeUtilityMethod ( ""postOpAsgnWithOrAnd"" , sig ( IRubyObject . class , IRubyObject . class , IRubyObject . class , ThreadContext . class , IRubyObject . class , CallSite . class ) ) ;
method . go_to ( done ) ;
method . label ( isTrue ) ;
method . swap ( ) ;
method . pop ( ) ;
method . label ( done ) ;","receiverCallback . call ( methodCompiler ) ;
method . dup ( ) ;
methodCompiler . loadThreadContext ( ) ;
methodCompiler . loadSelf ( ) ;
methodCompiler . getScriptCompiler ( ) . getCacheCompiler ( ) . cacheCallSite ( methodCompiler , attrName , CallType . FUNCTIONAL ) ;
methodCompiler . invokeUtilityMethod ( ""preOpAsgnWithOrAnd"" , sig ( IRubyObject . class , IRubyObject . class , ThreadContext . class , IRubyObject . class , CallSite . class ) ) ;
Label done = new Label ( ) ;
Label isFalse = new Label ( ) ;
method . dup ( ) ;
methodCompiler . invokeIRubyObject ( ""isTrue"" , sig ( boolean . class ) ) ;
method . ifeq ( isFalse ) ;
method . pop ( ) ;
argsCallback . call ( methodCompiler ) ;
methodCompiler . loadThreadContext ( ) ;
methodCompiler . loadSelf ( ) ;
methodCompiler . getScriptCompiler ( ) . getCacheCompiler ( ) . cacheCallSite ( methodCompiler , attrAsgnName , CallType . NORMAL ) ;
methodCompiler . invokeUtilityMethod ( ""postOpAsgnWithOrAnd"" , sig ( IRubyObject . class , IRubyObject . class , IRubyObject . class , ThreadContext . class , IRubyObject . class , CallSite . class ) ) ;
method . go_to ( done ) ;
method . label ( isFalse ) ;
method . swap ( ) ;
method . pop ( ) ;
method . label ( done ) ;",Type 2
32-1-2,src,org.jruby.compiler.impl,AbstractVariableCompiler,assignMethodArguments,187,214,src,org.jruby.compiler.impl,AbstractVariableCompiler,assignMethodArguments19,274,301,"if ( optArgsCount > 0 )
Label doneWithOpt = new Label ( ) ;
Label [ ] optLabels = new Label [ optArgsCount ] ;
for ( int i = 0 ; i < optLabels . length ; i ++ )
optLabels [ i ] = new Label ( ) ;
for ( int optArgElement = 0 ; optArgElement < optArgsCount ; currentArgElement ++ , optArgElement ++ )
method . aload ( argsIndex ) ;
method . pushInt ( currentArgElement ) ;
methodCompiler . invokeUtilityMethod ( ""elementOrNull"" , sig ( IRubyObject . class , IRubyObject [ ] . class , int . class ) ) ;
method . dup ( ) ;
method . ifnull ( optLabels [ optArgElement ] ) ;
optGivenAssignment . nextValue ( methodCompiler , optArgs , optArgElement ) ;
method . go_to ( doneWithOpt ) ;
for ( int optArgElement = 0 ; optArgElement < optArgsCount ; optArgElement ++ )
method . label ( optLabels [ optArgElement ] ) ;
optNotGivenAssignment . nextValue ( methodCompiler , optArgs , optArgElement ) ;
method . pop ( ) ;
method . label ( doneWithOpt ) ;","if ( optArgsCount > 0 )
Label doneWithOpt = new Label ( ) ;
Label [ ] optLabels = new Label [ optArgsCount ] ;
for ( int i = 0 ; i < optLabels . length ; i ++ )
optLabels [ i ] = new Label ( ) ;
for ( int optArgElement = 0 ; optArgElement < optArgsCount ; currentArgElement ++ , optArgElement ++ )
method . aload ( argsIndex ) ;
method . pushInt ( currentArgElement ) ;
methodCompiler . invokeUtilityMethod ( ""elementOrNull"" , sig ( IRubyObject . class , IRubyObject [ ] . class , int . class ) ) ;
method . dup ( ) ;
method . ifnull ( optLabels [ optArgElement ] ) ;
optGivenAssignment . nextValue ( methodCompiler , optArgs , optArgElement ) ;
method . go_to ( doneWithOpt ) ;
for ( int optArgElement = 0 ; optArgElement < optArgsCount ; optArgElement ++ )
method . label ( optLabels [ optArgElement ] ) ;
optNotGivenAssignment . nextValue ( methodCompiler , optArgs , optArgElement ) ;
method . pop ( ) ;
method . label ( doneWithOpt ) ;",Type 1
39-1-2,src,org.jruby.compiler.impl,AbstractVariableCompiler,assignMethodArguments,189,214,src,org.jruby.compiler.impl,AbstractVariableCompiler,assignMethodArguments19,276,301,"Label doneWithOpt = new Label ( ) ;
Label [ ] optLabels = new Label [ optArgsCount ] ;
for ( int i = 0 ; i < optLabels . length ; i ++ )
optLabels [ i ] = new Label ( ) ;
for ( int optArgElement = 0 ; optArgElement < optArgsCount ; currentArgElement ++ , optArgElement ++ )
method . aload ( argsIndex ) ;
method . pushInt ( currentArgElement ) ;
methodCompiler . invokeUtilityMethod ( ""elementOrNull"" , sig ( IRubyObject . class , IRubyObject [ ] . class , int . class ) ) ;
method . dup ( ) ;
method . ifnull ( optLabels [ optArgElement ] ) ;
optGivenAssignment . nextValue ( methodCompiler , optArgs , optArgElement ) ;
method . go_to ( doneWithOpt ) ;
for ( int optArgElement = 0 ; optArgElement < optArgsCount ; optArgElement ++ )
method . label ( optLabels [ optArgElement ] ) ;
optNotGivenAssignment . nextValue ( methodCompiler , optArgs , optArgElement ) ;
method . pop ( ) ;
method . label ( doneWithOpt ) ;","Label doneWithOpt = new Label ( ) ;
Label [ ] optLabels = new Label [ optArgsCount ] ;
for ( int i = 0 ; i < optLabels . length ; i ++ )
optLabels [ i ] = new Label ( ) ;
for ( int optArgElement = 0 ; optArgElement < optArgsCount ; currentArgElement ++ , optArgElement ++ )
method . aload ( argsIndex ) ;
method . pushInt ( currentArgElement ) ;
methodCompiler . invokeUtilityMethod ( ""elementOrNull"" , sig ( IRubyObject . class , IRubyObject [ ] . class , int . class ) ) ;
method . dup ( ) ;
method . ifnull ( optLabels [ optArgElement ] ) ;
optGivenAssignment . nextValue ( methodCompiler , optArgs , optArgElement ) ;
method . go_to ( doneWithOpt ) ;
for ( int optArgElement = 0 ; optArgElement < optArgsCount ; optArgElement ++ )
method . label ( optLabels [ optArgElement ] ) ;
optNotGivenAssignment . nextValue ( methodCompiler , optArgs , optArgElement ) ;
method . pop ( ) ;
method . label ( doneWithOpt ) ;",Type 1
40-1-2,src,org.jruby.ast.executable,AbstractScript,createBlockBody,335,359,src,org.jruby.ast.executable,AbstractScript,createBlockBody19,362,386,"String [ ] firstSplit = descriptor . split ( "","" ) ;
String [ ] secondSplit ;
if ( firstSplit [ 2 ] . length ( ) == 0 )
secondSplit = new String [ 0 ] ;
else
secondSplit = firstSplit [ 2 ] . split ( "";"" ) ;
for ( int i = 0 ; i < secondSplit . length ; i ++ )
secondSplit [ i ] = secondSplit [ i ] . intern ( ) ;
BlockBody body = RuntimeHelpers . createCompiledBlockBody ( context , scriptObject , firstSplit [ 0 ] , Integer . parseInt ( firstSplit [ 1 ] ) , secondSplit , Boolean . valueOf ( firstSplit [ 3 ] ) , Integer . parseInt ( firstSplit [ 4 ] ) , Boolean . valueOf ( firstSplit [ 5 ] ) ) ;
return blockBodies [ index ] = body ;","String [ ] firstSplit = descriptor . split ( "","" ) ;
String [ ] secondSplit ;
if ( firstSplit [ 2 ] . length ( ) == 0 )
secondSplit = new String [ 0 ] ;
else
secondSplit = firstSplit [ 2 ] . split ( "";"" ) ;
for ( int i = 0 ; i < secondSplit . length ; i ++ )
secondSplit [ i ] = secondSplit [ i ] . intern ( ) ;
BlockBody body = RuntimeHelpers . createCompiledBlockBody19 ( context , scriptObject , firstSplit [ 0 ] , Integer . parseInt ( firstSplit [ 1 ] ) , secondSplit , Boolean . valueOf ( firstSplit [ 3 ] ) , Integer . parseInt ( firstSplit [ 4 ] ) , Boolean . valueOf ( firstSplit [ 5 ] ) ) ;
return blockBodies [ index ] = body ;",Type 2
