Pair ID,Source Folder 1,Package 1,Class 1,Method 1,Start Line 1,End Line 1,Source Folder 2,Package 2,Class 2,Method 2,Start Line 2,End Line 2,Left Code,Right Code,Clone Type
21-1-2,plugins/dataimport/src,com.csvreader,CsvReader,readRecord,723,796,plugins/dataimport/src,com.csvreader,CsvReader,readRecord,991,1064,"switch ( currentLetter )
case 'n' :
appendLetter ( Letters . LF ) ;
break ;
case 'r' :
appendLetter ( Letters . CR ) ;
break ;
case 't' :
appendLetter ( Letters . TAB ) ;
break ;
case 'b' :
appendLetter ( Letters . BACKSPACE ) ;
break ;
case 'f' :
appendLetter ( Letters . FORM_FEED ) ;
break ;
case 'e' :
appendLetter ( Letters . ESCAPE ) ;
break ;
case 'v' :
appendLetter ( Letters . VERTICAL_TAB ) ;
break ;
case 'a' :
appendLetter ( Letters . ALERT ) ;
break ;
case '0' :
case '1' :
case '2' :
case '3' :
case '4' :
case '5' :
case '6' :
case '7' :
escape = ComplexEscape . OCTAL ;
readingComplexEscape = true ;
escapeLength = 1 ;
escapeValue = ( char ) ( currentLetter - '0' ) ;
dataBuffer . ColumnStart = dataBuffer . Position + 1 ;
break ;
case 'u' :
case 'x' :
case 'o' :
case 'd' :
case 'U' :
case 'X' :
case 'O' :
case 'D' :
switch ( currentLetter )
case 'u' :
case 'U' :
escape = ComplexEscape . UNICODE ;
break ;
case 'x' :
case 'X' :
escape = ComplexEscape . HEX ;
break ;
case 'o' :
case 'O' :
escape = ComplexEscape . OCTAL ;
break ;
case 'd' :
case 'D' :
escape = ComplexEscape . DECIMAL ;
break ;
readingComplexEscape = true ;
escapeLength = 0 ;
escapeValue = ( char ) 0 ;
dataBuffer . ColumnStart = dataBuffer . Position + 1 ;
break ;
default :
break ;","switch ( currentLetter )
case 'n' :
appendLetter ( Letters . LF ) ;
break ;
case 'r' :
appendLetter ( Letters . CR ) ;
break ;
case 't' :
appendLetter ( Letters . TAB ) ;
break ;
case 'b' :
appendLetter ( Letters . BACKSPACE ) ;
break ;
case 'f' :
appendLetter ( Letters . FORM_FEED ) ;
break ;
case 'e' :
appendLetter ( Letters . ESCAPE ) ;
break ;
case 'v' :
appendLetter ( Letters . VERTICAL_TAB ) ;
break ;
case 'a' :
appendLetter ( Letters . ALERT ) ;
break ;
case '0' :
case '1' :
case '2' :
case '3' :
case '4' :
case '5' :
case '6' :
case '7' :
escape = ComplexEscape . OCTAL ;
readingComplexEscape = true ;
escapeLength = 1 ;
escapeValue = ( char ) ( currentLetter - '0' ) ;
dataBuffer . ColumnStart = dataBuffer . Position + 1 ;
break ;
case 'u' :
case 'x' :
case 'o' :
case 'd' :
case 'U' :
case 'X' :
case 'O' :
case 'D' :
switch ( currentLetter )
case 'u' :
case 'U' :
escape = ComplexEscape . UNICODE ;
break ;
case 'x' :
case 'X' :
escape = ComplexEscape . HEX ;
break ;
case 'o' :
case 'O' :
escape = ComplexEscape . OCTAL ;
break ;
case 'd' :
case 'D' :
escape = ComplexEscape . DECIMAL ;
break ;
readingComplexEscape = true ;
escapeLength = 0 ;
escapeValue = ( char ) 0 ;
dataBuffer . ColumnStart = dataBuffer . Position + 1 ;
break ;
default :
break ;",Type 1
25-1-2,app/src,net.sourceforge.squirrel_sql.client.gui.db.aliasproperties,ColorPropertiesPanel,addStatusBarColorComponents,267,333,app/src,net.sourceforge.squirrel_sql.client.gui.db.aliasproperties,ColorPropertiesPanel,addObjectTreeColorComponents,347,410,"statusBarBackgroundColorChk . setSelected ( _props . isOverrideStatusBarBackgroundColor ( ) ) ;
add ( statusBarBackgroundColorChk , gbc ) ;
++ gbc . gridx ;
statusBarBackgroundColorBtn = new JButton ( i18n . STATUS_BAR_BACKGROUND_COLOR_BUTTON_LABEL ) ;
add ( statusBarBackgroundColorBtn , gbc ) ;
++ gbc . gridx ;
gbc . anchor = GridBagConstraints . EAST ;
gbc . fill = GridBagConstraints . HORIZONTAL ;
statusBarBackgroundColorChk . setSelected ( _props . isOverrideStatusBarBackgroundColor ( ) ) ;
statusBarBackgroundColorBtn . setEnabled ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
statusBarBackgroundLbl = new JLabel ( i18n . BACKGROUND_COLOR_LABEL ) ;
statusBarBackgroundLbl . setEnabled ( _props . isOverrideStatusBarBackgroundColor ( ) ) ;
statusBarBackgroundColorPnl . add ( statusBarBackgroundLbl ) ;
statusBarBackgroundColorPnl . setEnabled ( _props . isOverrideStatusBarBackgroundColor ( ) ) ;
if ( _props . isOverrideStatusBarBackgroundColor ( ) )
statusBarBackgroundColor = new Color ( _props . getStatusBarBackgroundColorRgbValue ( ) ) ;
statusBarBackgroundColorPnl . setBackground ( statusBarBackgroundColor ) ;
add ( statusBarBackgroundColorPnl , gbc ) ;
statusBarBackgroundColorChk . addActionListener ( new ActionListener ( ) { . . . } ) ;
statusBarBackgroundColorBtn . addActionListener ( new ActionListener ( ) { . . . } ) ;","objectTreeBackgroundColorChk . setSelected ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
add ( objectTreeBackgroundColorChk , gbc ) ;
++ gbc . gridx ;
objectTreeBackgroundColorBtn = new JButton ( i18n . OBJECT_TREE_BACKGROUND_COLOR_BUTTON_LABEL ) ;
add ( objectTreeBackgroundColorBtn , gbc ) ;
++ gbc . gridx ;
gbc . anchor = GridBagConstraints . EAST ;
gbc . fill = GridBagConstraints . HORIZONTAL ;
objectTreeBackgroundColorChk . setSelected ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
objectTreeBackgroundColorBtn . setEnabled ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
objectTreeBackgroundLbl = new JLabel ( i18n . BACKGROUND_COLOR_LABEL ) ;
objectTreeBackgroundLbl . setEnabled ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
objectTreeBackgroundColorPnl . add ( objectTreeBackgroundLbl ) ;
objectTreeBackgroundColorPnl . setEnabled ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
if ( _props . isOverrideObjectTreeBackgroundColor ( ) )
objectTreeBackgroundColor = new Color ( _props . getObjectTreeBackgroundColorRgbValue ( ) ) ;
objectTreeBackgroundColorPnl . setBackground ( objectTreeBackgroundColor ) ;
add ( objectTreeBackgroundColorPnl , gbc ) ;
objectTreeBackgroundColorChk . addActionListener ( new ActionListener ( ) { . . . } ) ;
objectTreeBackgroundColorBtn . addActionListener ( new ActionListener ( ) { . . . } ) ;",Type 2
25-1-3,app/src,net.sourceforge.squirrel_sql.client.gui.db.aliasproperties,ColorPropertiesPanel,addStatusBarColorComponents,267,333,app/src,net.sourceforge.squirrel_sql.client.gui.db.aliasproperties,ColorPropertiesPanel,addToolbarColorComponents,417,479,"statusBarBackgroundColorChk . setSelected ( _props . isOverrideStatusBarBackgroundColor ( ) ) ;
add ( statusBarBackgroundColorChk , gbc ) ;
++ gbc . gridx ;
statusBarBackgroundColorBtn = new JButton ( i18n . STATUS_BAR_BACKGROUND_COLOR_BUTTON_LABEL ) ;
add ( statusBarBackgroundColorBtn , gbc ) ;
++ gbc . gridx ;
gbc . anchor = GridBagConstraints . EAST ;
gbc . fill = GridBagConstraints . HORIZONTAL ;
statusBarBackgroundColorChk . setSelected ( _props . isOverrideStatusBarBackgroundColor ( ) ) ;
statusBarBackgroundColorBtn . setEnabled ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
statusBarBackgroundLbl = new JLabel ( i18n . BACKGROUND_COLOR_LABEL ) ;
statusBarBackgroundLbl . setEnabled ( _props . isOverrideStatusBarBackgroundColor ( ) ) ;
statusBarBackgroundColorPnl . add ( statusBarBackgroundLbl ) ;
statusBarBackgroundColorPnl . setEnabled ( _props . isOverrideStatusBarBackgroundColor ( ) ) ;
if ( _props . isOverrideStatusBarBackgroundColor ( ) )
statusBarBackgroundColor = new Color ( _props . getStatusBarBackgroundColorRgbValue ( ) ) ;
statusBarBackgroundColorPnl . setBackground ( statusBarBackgroundColor ) ;
add ( statusBarBackgroundColorPnl , gbc ) ;
statusBarBackgroundColorChk . addActionListener ( new ActionListener ( ) { . . . } ) ;
statusBarBackgroundColorBtn . addActionListener ( new ActionListener ( ) { . . . } ) ;","toolbarBackgroundColorChk . setSelected ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
add ( toolbarBackgroundColorChk , gbc ) ;
++ gbc . gridx ;
toolbarBackgroundColorBtn = new JButton ( i18n . TOOLBAR_BACKGROUND_COLOR_BUTTON_LABEL ) ;
add ( toolbarBackgroundColorBtn , gbc ) ;
++ gbc . gridx ;
gbc . anchor = GridBagConstraints . EAST ;
gbc . fill = GridBagConstraints . HORIZONTAL ;
toolbarBackgroundColorChk . setSelected ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
toolbarBackgroundColorBtn . setEnabled ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
toolBarBackgroundLbl = new JLabel ( i18n . BACKGROUND_COLOR_LABEL ) ;
toolBarBackgroundLbl . setEnabled ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
toolbarBackgroundColorPnl . add ( toolBarBackgroundLbl ) ;
toolbarBackgroundColorPnl . setEnabled ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
if ( _props . isOverrideToolbarBackgroundColor ( ) )
toolbarBackgroundColor = new Color ( _props . getToolbarBackgroundColorRgbValue ( ) ) ;
toolbarBackgroundColorPnl . setBackground ( toolbarBackgroundColor ) ;
add ( toolbarBackgroundColorPnl , gbc ) ;
toolbarBackgroundColorChk . addActionListener ( new ActionListener ( ) { . . . } ) ;
toolbarBackgroundColorBtn . addActionListener ( new ActionListener ( ) { . . . } ) ;",Type 2
25-2-3,app/src,net.sourceforge.squirrel_sql.client.gui.db.aliasproperties,ColorPropertiesPanel,addObjectTreeColorComponents,347,410,app/src,net.sourceforge.squirrel_sql.client.gui.db.aliasproperties,ColorPropertiesPanel,addToolbarColorComponents,417,479,"objectTreeBackgroundColorChk . setSelected ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
add ( objectTreeBackgroundColorChk , gbc ) ;
++ gbc . gridx ;
objectTreeBackgroundColorBtn = new JButton ( i18n . OBJECT_TREE_BACKGROUND_COLOR_BUTTON_LABEL ) ;
add ( objectTreeBackgroundColorBtn , gbc ) ;
++ gbc . gridx ;
gbc . anchor = GridBagConstraints . EAST ;
gbc . fill = GridBagConstraints . HORIZONTAL ;
objectTreeBackgroundColorChk . setSelected ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
objectTreeBackgroundColorBtn . setEnabled ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
objectTreeBackgroundLbl = new JLabel ( i18n . BACKGROUND_COLOR_LABEL ) ;
objectTreeBackgroundColorPnl . add ( objectTreeBackgroundLbl ) ;
objectTreeBackgroundColorPnl . setEnabled ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
objectTreeBackgroundLbl . setEnabled ( _props . isOverrideObjectTreeBackgroundColor ( ) ) ;
if ( _props . isOverrideObjectTreeBackgroundColor ( ) )
objectTreeBackgroundColor = new Color ( _props . getObjectTreeBackgroundColorRgbValue ( ) ) ;
objectTreeBackgroundColorPnl . setBackground ( objectTreeBackgroundColor ) ;
add ( objectTreeBackgroundColorPnl , gbc ) ;
objectTreeBackgroundColorChk . addActionListener ( new ActionListener ( ) { . . . } ) ;
objectTreeBackgroundColorBtn . addActionListener ( new ActionListener ( ) { . . . } ) ;","toolbarBackgroundColorChk . setSelected ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
add ( toolbarBackgroundColorChk , gbc ) ;
++ gbc . gridx ;
toolbarBackgroundColorBtn = new JButton ( i18n . TOOLBAR_BACKGROUND_COLOR_BUTTON_LABEL ) ;
add ( toolbarBackgroundColorBtn , gbc ) ;
++ gbc . gridx ;
gbc . anchor = GridBagConstraints . EAST ;
gbc . fill = GridBagConstraints . HORIZONTAL ;
toolbarBackgroundColorChk . setSelected ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
toolbarBackgroundColorBtn . setEnabled ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
toolBarBackgroundLbl = new JLabel ( i18n . BACKGROUND_COLOR_LABEL ) ;
toolbarBackgroundColorPnl . add ( toolBarBackgroundLbl ) ;
toolbarBackgroundColorPnl . setEnabled ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
toolBarBackgroundLbl . setEnabled ( _props . isOverrideToolbarBackgroundColor ( ) ) ;
if ( _props . isOverrideToolbarBackgroundColor ( ) )
toolbarBackgroundColor = new Color ( _props . getToolbarBackgroundColorRgbValue ( ) ) ;
toolbarBackgroundColorPnl . setBackground ( toolbarBackgroundColor ) ;
add ( toolbarBackgroundColorPnl , gbc ) ;
toolbarBackgroundColorChk . addActionListener ( new ActionListener ( ) { . . . } ) ;
toolbarBackgroundColorBtn . addActionListener ( new ActionListener ( ) { . . . } ) ;",Type 2
32-1-2,plugins/firebirdmanager/src,net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui,FirebirdManagerBackupRestoreFrame,isBackupInputOK,874,936,plugins/firebirdmanager/src,net.sourceforge.squirrel_sql.plugins.firebirdmanager.gui,FirebirdManagerBackupRestoreFrame,isRestoreInputOK,1000,1061,"StringBuffer bufError = new StringBuffer ( ) ;
boolean focusSet = false ;
if ( jtextfieldUsername . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_USERNAME_MISSING + CR ) ;
jtextfieldUsername . requestFocusInWindow ( ) ;
focusSet = true ;
if ( jtextfieldBckDBHost . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_SERVER_MISSING + CR ) ;
if ( ! focusSet )
jtextfieldBckDBHost . requestFocusInWindow ( ) ;
focusSet = true ;
if ( jtextfieldBckPort . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_PORT_MISSING + CR ) ;
if ( ! focusSet )
jtextfieldBckPort . requestFocusInWindow ( ) ;
focusSet = true ;
try
Integer . parseInt ( jtextfieldBckPort . getText ( ) ) ;
if ( jtextfieldBckDBFile . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_FILENAME_DATABASE_MISSING + CR ) ;
if ( ! focusSet )
jtextfieldBckDBFile . requestFocusInWindow ( ) ;
focusSet = true ;
else if ( jtextfieldBckDBHost . getText ( ) . trim ( ) . equalsIgnoreCase ( ""localhost"" ) )
if ( ! FirebirdManagerHelper . fileExists ( jtextfieldBckDBFile . getText ( ) ) )
bufError . append ( i18n . ERROR_FILENAME_NOT_EXISTS + "" "" + jtextfieldBckDBFile . getText ( ) + "" "" + CR ) ;
if ( ! focusSet )
jtextfieldBckDBFile . requestFocusInWindow ( ) ;
focusSet = true ;
if ( jtextfieldBckBackupFile . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_FILENAME_BACKUP_MISSING + CR ) ;
if ( ! focusSet )
jtextfieldBckBackupFile . requestFocusInWindow ( ) ;
focusSet = true ;
if ( bufError . length ( ) != 0 )
JOptionPane . showMessageDialog ( _application . getMainFrame ( ) , bufError . toString ( ) ) ;
return bufError . length ( ) == 0 ;","StringBuffer bufError = new StringBuffer ( ) ;
boolean focusSet = false ;
if ( jtextfieldUsername . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_USERNAME_MISSING + CR ) ;
jtextfieldUsername . requestFocusInWindow ( ) ;
focusSet = true ;
if ( jtextfieldResDBHost . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_SERVER_MISSING + CR ) ;
if ( ! focusSet )
jtextfieldResDBHost . requestFocusInWindow ( ) ;
focusSet = true ;
if ( jtextfieldResPort . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_PORT_MISSING + CR ) ;
if ( ! focusSet )
jtextfieldResPort . requestFocusInWindow ( ) ;
focusSet = true ;
try
Integer . parseInt ( jtextfieldResPort . getText ( ) ) ;
if ( jtextfieldResBackupFile . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_FILENAME_BACKUP_MISSING + CR ) ;
if ( ! focusSet )
jtextfieldResBackupFile . requestFocusInWindow ( ) ;
focusSet = true ;
else if ( jtextfieldResDBHost . getText ( ) . trim ( ) . equalsIgnoreCase ( ""localhost"" ) )
if ( ! FirebirdManagerHelper . fileExists ( jtextfieldResBackupFile . getText ( ) ) )
bufError . append ( i18n . ERROR_FILENAME_NOT_EXISTS + "" "" + jtextfieldResBackupFile . getText ( ) + "" "" + CR ) ;
if ( ! focusSet )
jtextfieldResBackupFile . requestFocusInWindow ( ) ;
focusSet = true ;
if ( jtextfieldResDBFile . getText ( ) . trim ( ) . length ( ) == 0 )
bufError . append ( i18n . ERROR_FILENAME_DATABASE_MISSING + CR ) ;
if ( ! focusSet )
jtextfieldResDBFile . requestFocusInWindow ( ) ;
focusSet = true ;
if ( bufError . length ( ) != 0 )
JOptionPane . showMessageDialog ( _application . getMainFrame ( ) , bufError . toString ( ) ) ;
return bufError . length ( ) == 0 ;",Type 2
67-1-2,plugins/refactoring/src,net.sourceforge.squirrel_sql.plugins.refactoring.gui,DefaultDropDialog,init,153,198,plugins/refactoring/src,net.sourceforge.squirrel_sql.plugins.refactoring.gui,DropTableDialog,init,86,131,"
JLabel catalogLabel = getBorderedLabel ( DefaultDropDialog . i18n . CATALOG_LABEL + "" "" , emptyBorder ) ;
pane . add ( catalogLabel , getLabelConstraints ( c ) ) ;
JTextField catalogTF = new JTextField ( ) ;
catalogTF . setPreferredSize ( mediumField ) ;
catalogTF . setEditable ( false ) ;
catalogTF . setText ( _objectInfo [ 0 ] . getCatalogName ( ) ) ;
pane . add ( catalogTF , getFieldConstraints ( c ) ) ;

JLabel schemaLabel = getBorderedLabel ( DefaultDropDialog . i18n . SCHEMA_LABEL + "" "" , emptyBorder ) ;
pane . add ( schemaLabel , getLabelConstraints ( c ) ) ;
JTextField schemaTF = new JTextField ( ) ;
schemaTF . setPreferredSize ( mediumField ) ;
schemaTF . setEditable ( false ) ;
schemaTF . setText ( _objectInfo [ 0 ] . getSchemaName ( ) ) ;
pane . add ( schemaTF , getFieldConstraints ( c ) ) ;
JLabel viewListLabel = getBorderedLabel ( _dropItem , emptyBorder ) ;
viewListLabel . setVerticalAlignment ( JLabel . NORTH ) ;
pane . add ( viewListLabel , getLabelConstraints ( c ) ) ;
JList viewList = new JList ( getSimpleNames ( _objectInfo ) ) ;
viewList . setEnabled ( false ) ;
JScrollPane sp = new JScrollPane ( viewList ) ;
c = getFieldConstraints ( c ) ;
c . weightx = 1 ;
c . weighty = 1 ;
c . fill = GridBagConstraints . BOTH ;
pane . add ( sp , c ) ;
_cascadeConstraintsLabel = new JLabel ( DefaultDropDialog . i18n . CASCADE_LABEL + "" "" ) ;
_cascadeConstraintsLabel . setBorder ( emptyBorder ) ;

pane . add ( _cascadeConstraintsLabel , getLabelConstraints ( c ) ) ;
_cascadeCB = new JCheckBox ( ) ;
_cascadeCB . setPreferredSize ( mediumField ) ;
pane . add ( _cascadeCB , getFieldConstraints ( c ) ) ;
super . executeButton . setRequestFocusEnabled ( true ) ;","JLabel catalogLabel = getBorderedLabel ( i18n . CATALOG_LABEL + "" "" , emptyBorder ) ;
JLabel cascadeConstraintsLabel = new JLabel ( i18n . CASCADE_LABEL + "" "" ) ;
pane . add ( cascadeConstraintsLabel , getLabelConstraints ( c ) ) ;
JTextField catalogTF = new JTextField ( ) ;
catalogTF . setPreferredSize ( mediumField ) ;
catalogTF . setEditable ( false ) ;
catalogTF . setText ( tableInfos [ 0 ] . getCatalogName ( ) ) ;
pane . add ( catalogTF , getFieldConstraints ( c ) ) ;
JLabel schemaLabel = getBorderedLabel ( i18n . SCHEMA_LABEL + "" "" , emptyBorder ) ;

pane . add ( schemaLabel , getLabelConstraints ( c ) ) ;
JTextField schemaTF = new JTextField ( ) ;
schemaTF . setPreferredSize ( mediumField ) ;
schemaTF . setEditable ( false ) ;
schemaTF . setText ( tableInfos [ 0 ] . getSchemaName ( ) ) ;
pane . add ( schemaTF , getFieldConstraints ( c ) ) ;
JLabel tableListLabel = getBorderedLabel ( i18n . TABLE_LABEL + "" "" , emptyBorder ) ;
tableListLabel . setVerticalAlignment ( JLabel . NORTH ) ;
pane . add ( tableListLabel , getLabelConstraints ( c ) ) ;
JList tableList = new JList ( getSimpleNames ( tableInfos ) ) ;
tableList . setEnabled ( false ) ;
JScrollPane sp = new JScrollPane ( tableList ) ;
c = getFieldConstraints ( c ) ;
c . weightx = 1 ;
c . weighty = 1 ;
c . fill = GridBagConstraints . BOTH ;
pane . add ( sp , c ) ;
cascadeCB = new JCheckBox ( ) ;
cascadeConstraintsLabel . setBorder ( emptyBorder ) ;
cascadeCB . setPreferredSize ( mediumField ) ;
pane . add ( cascadeCB , getFieldConstraints ( c ) ) ;

pane . add ( catalogLabel , getLabelConstraints ( c ) ) ;

super . executeButton . setRequestFocusEnabled ( true ) ;",Type 2
75-1-2,fw/src,net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent,DataTypeBlob,keyTyped,422,465,fw/src,net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent,DataTypeClob,keyTyped,448,491,"char c = e . getKeyChar ( ) ;
JTextComponent _theComponent = ( JTextComponent ) DataTypeBlob . this . _textComponent ;
String text = _theComponent . getText ( ) ;
if ( DataTypeBlob . this . _isNullable )
if ( text . equals ( ""<null>"" ) )
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
DataTypeBlob . this . _textComponent . restoreText ( ) ;
e . consume ( ) ;
else
DataTypeBlob . this . _textComponent . updateText ( """" ) ;
else
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
if ( text . length ( ) <= 1 )
DataTypeBlob . this . _textComponent . updateText ( ""<null>"" ) ;
e . consume ( ) ;
else
handleNotNullableField ( text , c , e , _textComponent ) ;","char c = e . getKeyChar ( ) ;
JTextComponent _theComponent = ( JTextComponent ) DataTypeClob . this . _textComponent ;
String text = _theComponent . getText ( ) ;
if ( DataTypeClob . this . _isNullable )
if ( text . equals ( ""<null>"" ) )
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
DataTypeClob . this . _textComponent . restoreText ( ) ;
e . consume ( ) ;
else
DataTypeClob . this . _textComponent . updateText ( """" ) ;
else
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
if ( text . length ( ) <= 1 )
DataTypeClob . this . _textComponent . updateText ( ""<null>"" ) ;
e . consume ( ) ;
else
handleNotNullableField ( text , c , e , _textComponent ) ;",Type 2
75-1-3,fw/src,net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent,DataTypeBlob,keyTyped,422,465,plugins/derby/src,net.sourceforge.squirrel_sql.plugins.derby.types,DerbyClobDataTypeComponent,keyTyped,366,407,"char c = e . getKeyChar ( ) ;
JTextComponent _theComponent = ( JTextComponent ) DataTypeBlob . this . _textComponent ;
String text = _theComponent . getText ( ) ;
if ( DataTypeBlob . this . _isNullable )
if ( text . equals ( ""<null>"" ) )
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
DataTypeBlob . this . _textComponent . restoreText ( ) ;
e . consume ( ) ;
else
DataTypeBlob . this . _textComponent . updateText ( """" ) ;
else
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
if ( text . length ( ) <= 1 )
DataTypeBlob . this . _textComponent . updateText ( ""<null>"" ) ;
e . consume ( ) ;
else
handleNotNullableField ( text , c , e , _textComponent ) ;","char c = e . getKeyChar ( ) ;
JTextComponent _theComponent = ( JTextComponent ) DerbyClobDataTypeComponent . this . _textComponent ;
String text = _theComponent . getText ( ) ;
if ( DerbyClobDataTypeComponent . this . _isNullable )
if ( text . equals ( ""<null>"" ) )
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
DerbyClobDataTypeComponent . this . _textComponent . restoreText ( ) ;
e . consume ( ) ;
else
DerbyClobDataTypeComponent . this . _textComponent . updateText ( """" ) ;
else
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
if ( text . length ( ) <= 1 )
DerbyClobDataTypeComponent . this . _textComponent . updateText ( ""<null>"" ) ;
e . consume ( ) ;
else
handleNotNullableField ( text , c , e , _textComponent ) ;",Type 2
75-2-3,fw/src,net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent,DataTypeClob,keyTyped,448,491,plugins/derby/src,net.sourceforge.squirrel_sql.plugins.derby.types,DerbyClobDataTypeComponent,keyTyped,366,407,"char c = e . getKeyChar ( ) ;
JTextComponent _theComponent = ( JTextComponent ) DataTypeClob . this . _textComponent ;
String text = _theComponent . getText ( ) ;
if ( DataTypeClob . this . _isNullable )
if ( text . equals ( ""<null>"" ) )
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
DataTypeClob . this . _textComponent . restoreText ( ) ;
e . consume ( ) ;
else
DataTypeClob . this . _textComponent . updateText ( """" ) ;
else
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
if ( text . length ( ) <= 1 )
DataTypeClob . this . _textComponent . updateText ( ""<null>"" ) ;
e . consume ( ) ;
else
handleNotNullableField ( text , c , e , _textComponent ) ;","char c = e . getKeyChar ( ) ;
JTextComponent _theComponent = ( JTextComponent ) DerbyClobDataTypeComponent . this . _textComponent ;
String text = _theComponent . getText ( ) ;
if ( DerbyClobDataTypeComponent . this . _isNullable )
if ( text . equals ( ""<null>"" ) )
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
DerbyClobDataTypeComponent . this . _textComponent . restoreText ( ) ;
e . consume ( ) ;
else
DerbyClobDataTypeComponent . this . _textComponent . updateText ( """" ) ;
else
if ( ( c == KeyEvent . VK_BACK_SPACE ) || ( c == KeyEvent . VK_DELETE ) )
if ( text . length ( ) <= 1 )
DerbyClobDataTypeComponent . this . _textComponent . updateText ( ""<null>"" ) ;
e . consume ( ) ;
else
handleNotNullableField ( text , c , e , _textComponent ) ;",Type 2
80-1-2,plugins/firebirdmanager/src,net.sourceforge.squirrel_sql.plugins.firebirdmanager,FirebirdManagerPlugin,addMenuItem,286,328,plugins/smarttools/src,net.sourceforge.squirrel_sql.plugins.smarttools,SmarttoolsPlugin,addMenuItem,231,271,"JMenuItem menuItem = new JMenuItem ( title ) ;

menuItem . addActionListener ( new ActionListener ( ) { . . . } ) ;
return menuItem ;","JMenuItem menuItem = new JMenuItem ( title ) ;
menuItem . addActionListener ( new ActionListener ( ) { . . . } ) ;

return menuItem ;",Type 2
