Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,
38-1-2,Type-1,Yes,Yes,Yes,Yes,
63-1-2,Type-1,Yes,Yes,Yes,Yes,
163-1-2,Type-1,compliation error,compilation error,No,Yes,
209-3-4,Type-1,Yes,test fails,No,Yes,
221-1-2,Type-1,Yes,Yes,Yes,Yes,
225-1-2,Type-1,Yes,Yes,Yes,Yes,
279-1-2,Type-1,Yes,Yes,Yes,Yes,
282-1-2,Type-1,Yes,Yes,Yes,Yes,
321-2-4,Type-1,compliation error,compilation error,No,Yes,
374-1-2,Type-1,Yes,Yes,Yes,Yes,
432-1-2,Type-1,Yes,Yes,Yes,Yes,
511-1-3,Type-1,compliation error,compilation error,No,Yes,
511-2-4,Type-1,Yes,Yes,Yes,Yes,
512-1-3,Type-1,compliation error,compilation error,No,Yes,
554-1-2,Type-1,Yes,Yes,Yes,Yes,
599-2-4,Type-1,Yes,Yes,Yes,No,
627-1-3,Type-1,Yes,Yes,Yes,Yes,
710-1-2,Type-1,Yes,Yes,Yes,Yes,
759-1-3,Type-1,Yes,Yes,Yes,Yes,
759-2-4,Type-1,Yes,Yes,Yes,Yes,
817-1-2,Type-1,Yes,Yes,Yes,Yes,
824-2-5,Type-1,compliation error,compilation error,No,Yes,
839-1-2,Type-1,Yes,Yes,Yes,Yes,
859-1-2,Type-1,Yes,Yes,Yes,Yes,
878-2-3,Type-1,Yes,Yes,Yes,Yes,
892-2-3,Type-1,Yes,Yes,Yes,Yes,
900-1-3,Type-1,Yes,Yes,Yes,Yes,
900-2-4,Type-1,Yes,Yes,Yes,Yes,
937-1-2,Type-1,Yes,Yes,Yes,Yes,
981-3-5,Type-1,compliation error,compilation error,No,Yes,
1138-1-3,Type-1,Yes,Yes,Yes,Yes,
1138-2-4,Type-1,Yes,Yes,Yes,Yes,
1161-1-6,Type-1,Yes,Yes,Yes,No,
1161-3-10,Type-1,Yes,test fails,No,No,
1161-5-9,Type-1,Yes,Yes,Yes,No,
1172-1-3,Type-1,compliation error,compilation error,No,Yes,
1172-2-4,Type-1,compliation error,compilation error,No,Yes,
1210-1-3,Type-1,Yes,Yes,Yes,Yes,
1253-1-2,Type-1,Yes,Yes,Yes,Yes,
1295-2-4,Type-1,compliation error,compilation error,No,Yes,
1300-1-2,Type-1,Yes,Yes,Yes,Yes,
1417-1-2,Type-1,Yes,Yes,Yes,Yes,
1435-1-3,Type-1,Yes,Yes,Yes,Yes,
1435-2-4,Type-1,Yes,Yes,Yes,Yes,
1477-1-2,Type-1,Yes,Yes,Yes,Yes,
1547-1-2,Type-1,Yes,Yes,Yes,Yes,
1634-1-2,Type-1,Yes,Yes,Yes,Yes,
1638-3-9,Type-1,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
1646-1-2,Type-1,Yes,Yes,Yes,Yes,
1647-1-2,Type-1,Yes,Yes,Yes,Yes,
1649-1-2,Type-1,Yes,Yes,Yes,Yes,
1649-1-3,Type-1,Yes,Yes,Yes,Yes,
1649-2-3,Type-1,Yes,Yes,Yes,Yes,
1666-1-2,Type-1,Yes,Yes,Yes,Yes,
1748-1-2,Type-1,Yes,Yes,Yes,Yes,
1786-2-4,Type-1,compliation error,compilation error,No,Yes,
317-1-2,Type-1,Yes,no test file,Yes,Yes,
617-1-2,Type-1,Yes,no test file,Yes,Yes,
705-1-3,Type-1,compliation error,compilation error,No,Yes,
824-1-4,Type-1,compliation error,compilation error,No,Yes,
928-1-2,Type-1,Yes,Yes,Yes,Yes,
981-1-4,Type-1,Yes,Yes,Yes,Yes,
981-2-3,Type-1,compliation error,compilation error,No,Yes,
981-2-5,Type-1,compliation error,compilation error,No,Yes,
1536-1-2,Type-1,compliation error,compilation error,No,Yes,
1536-6-8,Type-1,Yes,test fails,No,Yes,
1656-1-3,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
1751-2-3,Type-1,Yes,Yes,Yes,Yes,
1751-7-9,Type-1,Yes,Yes,Yes,Yes,
1815-2-4,Type-1,compliation error,compilation error,No,Yes,
