Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
37-1-2,Type-3,compilation error,compilation error,No,No,
37-1-3,Type-2,compilation error,compilation error,No,No,
168-2-3,Type-3,compilation error,compilation error,No,No,
200-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor more lines than clone
212-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor more lines than clone
216-1-2,Type-2,Yes,Yes,Yes,Yes,
219-1-2,Type-3,Yes,Yes,Yes,No,gpt refactor more lines than clone
227-1-2,Type-2,Yes,Yes,Yes,Yes,
235-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor more lines than clone
248-1-2,Type-2,Yes,Yes,Yes,Yes,
264-1-2,Type-2,Yes,Yes,Yes,Yes,gpt refactor more lines than clone
268-1-2,Type-3,Yes,Yes,Yes,Yes,
268-1-4,Type-2,Yes,Yes,No,Yes,gpt didn't refactor the whole clone
268-2-4,Type-2,Yes,Yes,Yes,Yes,
287-1-2,Type-1,compilation error,compilation error,No,Yes,
298-1-2,Type-3,Yes,Yes,Yes,Yes,
298-1-4,Type-2,Yes,Yes,No,Yes,gpt didn't refactor the whole clone
298-2-4,Type-2,Yes,Yes,Yes,Yes,
300-1-2,Type-1,compilation error,compilation error,No,Yes,
309-1-2,Type-2,Yes,Yes,No,Yes,gpt didn't refactor the whole clone
327-1-3,Type-2,Yes,Yes,Yes,No,
327-1-4,Type-2,Yes,Yes,Yes,No,
328-1-2,Type-2,compilation error,compilation error,No,No,
354-1-2,Type-3,compilation error,compilation error,No,No,
358-1-2,Type-3,Yes,Yes,Yes,Yes,gpt refactor more lines than clone
375-1-2,Type-2,Yes,Yes,Yes,Yes,
383-1-2,Type-2,Yes,Yes,Yes,Yes,
384-1-2,Type-3,still have clones in extracted method,still have clones in extracted method,No,No,
390-1-2,Type-2,Yes,tests fail,No,Yes,
415-1-2,Type-2,Yes,Yes,No,No,gpt didn't refactor the whole clone
421-1-2,Type-3,compilation error,compilation error,No,No,
460-1-2,Type-2,Yes,Yes,No,No,gpt didn't refactor the whole clone
478-2-3,Type-3,Yes,tests fail,No,No,
478-3-4,Type-3,Yes,tests fail,No,No,
478-3-8,Type-3,Yes,Yes,Yes,No,
478-3-10,Type-3,Yes,Yes,Yes,No,
495-1-2,Type-2,Yes,Yes,No,Yes,gpt didn't refactor the whole clone
495-1-3,Type-2,compilation error,compilation error,No,Yes,
503-1-2,Type-2,Yes,Yes,Yes,No,gpt refactor the whole method
503-1-3,Type-3,compilation error,compilation error,No,No,
503-2-3,Type-3,Yes,Yes,Yes,No,
504-1-3,Type-3,Yes,Yes,No,No,gpt didn't refactor the whole clone
516-1-3,Type-3,compilation error,compilation error,No,No,
516-1-4,Type-2,compilation error,compilation error,No,No,
516-3-5,Type-2,Yes,Yes,No,No,gpt didn't refactor the whole clone
516-4-5,Type-3,compilation error,compilation error,No,No,
518-2-3,Type-3,compilation error,compilation error,No,No,
518-3-7,Type-3,Yes,Yes,No,No,gpt didn't refactor the whole clone
518-3-8,Type-3,Yes,Yes,No,No,gpt didn't refactor the whole clone
518-3-14,Type-3,Yes,Yes,No,No,gpt didn't refactor the whole clone
518-3-15,Type-3,Yes,tests fail,No,No,
522-1-2,Type-2,compilation error,compilation error,No,No,
522-1-3,Type-3,Yes,Yes,Yes,Yes,
522-1-4,Type-3,compilation error,compilation error,No,No,
522-2-3,Type-3,compilation error,compilation error,No,No,
522-2-4,Type-3,compilation error,compilation error,No,Yes,
522-3-4,Type-2,compilation error,compilation error,No,No,
523-1-2,Type-2,compilation error,compilation error,No,No,
527-1-2,Type-3,Yes,Yes,Yes,No,
527-2-3,Type-3,Yes,Yes,Yes,No,
527-2-5,Type-3,Yes,Yes,Yes,No,
527-2-6,Type-3,Yes,Yes,Yes,No,
527-2-7,Type-3,Yes,Yes,Yes,No,
527-2-9,Type-3,Yes,Yes,Yes,No,
573-1-3,Type-2,compilation error,compilation error,No,No,
573-2-3,Type-2,compilation error,compilation error,No,No,
575-1-2,Type-2,Yes,Yes,Yes,Yes,
598-1-2,Type-2,compilation error,compilation error,No,No,
598-1-3,Type-3,Yes,Yes,Yes,No,gpt refactor more lines than clone
598-1-4,Type-3,compilation error,compilation error,No,No,
598-2-3,Type-3,compilation error,compilation error,No,No,
598-2-4,Type-3,Yes,Yes,Yes,No,gpt refactor more lines than clone
598-3-4,Type-2,compilation error,compilation error,No,No,
603-1-5,Type-3,Yes,Yes,Yes,No,
603-2-3,Type-3,Yes,Yes,Yes,No,
603-2-4,Type-3,Yes,Yes,Yes,No,
603-3-5,Type-3,Yes,Yes,Yes,No,
610-1-2,Type-3,Yes,Yes,Yes,Yes,
610-1-3,Type-3,Yes,Yes,Yes,Yes,gpt refactor the whole method
611-1-2,Type-2,Yes,Yes,Yes,Yes,
632-1-2,Type-1,compilation error,compilation error,No,No,
641-2-3,Type-2,Yes,Yes,Yes,Yes,
641-2-4,Type-2,Yes,Yes,Yes,Yes,
652-1-2,Type-3,Yes,tests fail,No,No,
652-1-3,Type-3,Yes,tests fail,No,No,
657-1-2,Type-2,compilation error,compilation error,No,No,
657-1-3,Type-1,compilation error,compilation error,No,No,
657-1-4,Type-1,Yes,Yes,Yes,No,
657-2-3,Type-2,compilation error,compilation error,No,No,
657-2-4,Type-2,Yes,tests fail,No,No,
659-1-3,Type-2,Yes,Yes,No,No,gpt didn't refactor the whole clone
659-1-4,Type-3,compilation error,compilation error,No,No,
659-1-5,Type-2,compilation error,compilation error,No,No,
659-2-3,Type-2,compilation error,compilation error,No,No,
659-2-4,Type-2,compilation error,compilation error,No,No,
659-2-5,Type-2,compilation error,compilation error,No,No,
659-3-4,Type-3,Yes,Yes,Yes,Yes,
659-3-5,Type-2,Yes,Yes,Yes,Yes,
659-4-5,Type-2,Yes,Yes,Yes,Yes,
660-1-2,Type-1,compilation error,compilation error,No,No,
661-1-3,Type-2,Yes,Yes,Yes,No,gpt refactor more lines than clone
