Pair ID(Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
90-1-2,Type-2,compilation error,compilation error,No,No,
93-1-2,Type-3,compilation error,compilation error,No,No,
126-1-2,Type-3,Yes,Yes,Yes,Yes,
126-1-3,Type-3,Yes,test fails,No,Yes,
129-3-4,Type-3,compilation error,compilation error,No,No,
166-1-2,Type-3,Yes,Yes,Yes,No,
166-2-3,Type-3,incomplete refactoring,incomplete refactoring,No,No,did not include all clones in the extraction
292-2-8,Type-3,compilation error,compilation error,No,No,
292-2-10,Type-3,compilation error,compilation error,No,No,
292-3-5,Type-3,compilation error,compilation error,No,No,
292-5-8,Type-3,Yes,Yes,Yes,No,
292-5-10,Type-3,compilation error,compilation error,No,No,
342-8-13,Type-3,compilation error,compilation error,No,No,
349-2-3,Type-3,compilation error,compilation error,No,No,
425-1-2,Type-3,compilation error,compilation error,No,No,
425-1-3,Type-3,compilation error,compilation error,No,No,
718-1-3,Type-3,Yes,Yes,Yes,No,
718-1-4,Type-3,Yes,Yes,Yes,No,
718-1-7,Type-3,compilation error,compilation error,No,No,
718-1-8,Type-3,gpt didn't generate the method calls,gpt didn't generate the method calls,gpt didn't generate the method calls,No,
718-2-3,Type-3,compilation error,compilation error,No,No,
718-2-4,Type-3,compilation error,compilation error,No,No,
718-2-7,Type-3,compilation error,compilation error,No,No,
718-2-8,Type-3,compilation error,compilation error,No,No,
718-3-5,Type-3,Yes,Yes,Yes,No,
718-3-6,Type-3,compilation error,compilation error,No,No,
718-4-5,Type-3,Yes,test fails,No,No,
718-4-6,Type-2,compilation error,compilation error,No,No,
718-5-7,Type-2,compilation error,compilation error,No,No,
718-5-8,Type-2,compilation error,compilation error,No,No,
718-6-7,Type-3,compilation error,compilation error,No,No,
718-6-8,Type-3,Yes,test fails,No,No,
726-1-2,Type-3,Yes,Yes,Yes,No,
726-1-3,Type-3,Yes,Yes,Yes,No,
776-20-29,Type-2,compilation error,compilation error,No,No,
776-21-29,Type-2,gpt didn't generate the method calls,gpt didn't generate the method calls,gpt didn't generate the method calls,No,
776-22-29,Type-2,gpt didn't generate the method calls,gpt didn't generate the method calls,gpt didn't generate the method calls,No,
776-23-29,Type-2,compilation error,compilation error,No,No,
776-24-29,Type-2,compilation error,compilation error,No,No,
776-25-29,Type-2,compilation error,compilation error,No,No,
776-26-29,Type-2,compilation error,compilation error,No,No,
776-27-29,Type-2,compilation error,compilation error,No,No,
776-29-30,Type-2,compilation error,compilation error,No,No,
1046-1-3,Type-3,compilation error,compilation error,No,No,
1046-2-3,Type-1,compilation error,compilation error,No,No,
1097-1-2,Type-3,Yes,Yes,Yes,No,
1118-1-3,Type-3,Yes,Yes,Yes,Yes,
1118-2-3,Type-3,Yes,Yes,Yes,Yes,
1133-1-2,Type-3,Yes,test fails,No,No,
1133-1-4,Type-3,Yes,Yes,Yes,No,
1133-1-5,Type-3,Yes,test fails,No,No,
1133-2-3,Type-3,compilation error,compilation error,No,No,
1133-2-6,Type-3,gpt didn't generate the method calls,gpt didn't generate the method calls,gpt didn't generate the method calls,No,
1133-3-4,Type-3,compilation error,compilation error,No,No,
1133-3-5,Type-3,Yes,Yes,Yes,No,
1133-4-6,Type-3,Yes,test fails,No,No,
1133-5-6,Type-3,Yes,test fails,No,No,
1283-1-3,Type-3,Yes,Yes,Yes,No,
1283-1-4,Type-3,Yes,Yes,Yes,No,
1283-2-3,Type-3,Yes,Yes,Yes,No,
1283-2-4,Type-3,Yes,Yes,Yes,No,
1294-1-2,Type-2,compilation error,compilation error,No,No,
1294-1-3,Type-2,compilation error,compilation error,No,No,
1546-1-2,Type-3,Yes,Yes,Yes,Yes,
1785-1-2,Type-3,compilation error,compilation error,No,No,
1785-1-3,Type-3,compilation error,compilation error,No,No,
1785-1-4,Type-3,compilation error,compilation error,No,No,
1785-1-5,Type-3,Yes,Yes,Yes,No,
31-1-2,Type-3,Yes,Yes,Yes,No,
71-1-2,Type-3,compilation error,compilation error,No,No,
100-1-2,Type-3,Yes,test fails,No,No,
100-1-3,Type-3,compilation error,compilation error,No,No,
100-2-3,Type-3,compilation error,compilation error,No,No,
106-1-3,Type-3,compilation error,compilation error,No,No,
129-1-2,Type-3,compilation error,compilation error,No,No,
129-1-3,Type-3,Yes,test fails,No,No,
129-1-4,Type-3,Yes,test fails,No,No,
129-1-5,Type-3,compilation error,compilation error,No,No,
129-2-3,Type-3,compilation error,compilation error,No,No,
129-2-4,Type-3,compilation error,compilation error,No,No,
129-2-5,Type-3,compilation error,compilation error,No,No,
129-3-5,Type-3,Yes,test fails,No,No,
129-4-5,Type-3,Yes,test fails,No,No,
155-1-2,Type-3,Yes,test fails,No,No,
155-2-3,Type-3,Yes,test fails,No,No,
157-1-3,Type-3,Yes,test fails,No,No,
157-2-3,Type-3,compilation error,compilation error,No,No,
163-1-3,Type-3,compilation error,compilation error,No,No,
163-2-3,Type-3,compilation error,compilation error,No,No,
230-1-2,Type-3,Yes,Yes,Yes,No,
242-3-5,Type-3,Yes,test fails,No,No,
242-4-5,Type-3,compilation error,compilation error,No,No,
274-1-2,Type-3,Yes,test fails,No,No,
274-2-3,Type-3,no method call,no method call,no method call,No,
274-2-4,Type-3,Yes,Yes,Yes,No,
274-2-5,Type-3,compilation error,compilation error,No,No,
274-3-5,Type-3,compilation error,compilation error,No,No,
278-1-2,Type-3,compilation error,compilation error,No,No,
292-1-6,Type-3,compilation error,compilation error,No,No,
292-1-7,Type-3,compilation error,compilation error,No,No,
292-1-8,Type-3,Yes,test fails,No,No,
292-1-9,Type-3,no method call,no method call,no method call,No,
292-1-10,Type-3,Yes,test fails,No,No,
292-2-6,Type-3,Yes,test fails,No,No,
292-2-7,Type-3,Yes,Yes,Yes,No,
292-2-9,Type-3,no method call,no method call,no method call,No,
292-3-4,Type-3,Yes,Yes,Yes,No,
292-3-6,Type-3,Yes,test fails,No,No,
292-3-7,Type-3,Yes,test fails,No,No,
292-3-8,Type-3,Yes,test fails,No,No,
292-3-9,Type-3,Yes,test fails,No,No,
292-3-10,Type-3,Yes,test fails,No,No,
292-4-6,Type-3,no method call,no method call,no method call,No,
292-4-7,Type-3,Yes,test fails,No,No,
292-4-9,Type-3,Yes,test fails,No,No,
292-5-6,Type-3,Yes,test fails,No,No,
292-5-7,Type-3,Yes,test fails,No,No,
292-5-9,Type-3,Yes,test fails,No,No,
292-6-8,Type-3,Yes,test fails,No,No,
292-6-10,Type-3,Yes,test fails,No,No,
292-7-8,Type-3,Yes,test fails,No,No,
292-7-10,Type-3,Yes,Yes,Yes,No,
292-8-9,Type-3,no method call,no method call,no method call,No,
292-9-10,Type-3,Yes,Yes,Yes,No,
293-1-2,Type-3,Yes,test fails,No,No,
296-1-2,Type-3,Yes,test fails,No,No,
296-1-3,Type-3,Yes,test fails,No,No,
296-1-4,Type-3,no method call,no method call,no method call,No,
296-1-5,Type-3,Yes,test fails,No,No,
296-2-3,Type-3,no method call,no method call,no method call,No,
296-2-4,Type-3,Yes,test fails,No,No,
296-2-5,Type-3,compilation error,compilation error,No,No,
304-1-3,Type-3,Yes,test fails,No,No,
304-2-3,Type-3,Yes,test fails,No,No,
305-1-4,Type-3,Yes,test fails,No,No,
305-2-4,Type-3,no method call,no method call,no method call,No,
305-3-4,Type-3,Yes,test fails,No,No,
305-4-5,Type-3,compilation error,compilation error,No,No,
307-1-4,Type-3,Yes,Yes,Yes,No,
307-1-5,Type-3,Yes,Yes,Yes,No,
308-1-2,Type-3,Yes,Yes,Yes,No,
308-1-3,Type-3,Yes,test fails,No,No,
308-1-4,Type-3,Yes,test fails,No,No,
308-1-5,Type-3,Yes,test fails,No,No,
308-1-6,Type-3,Yes,test fails,No,No,
308-2-3,Type-3,Yes,test fails,No,No,
308-2-4,Type-3,Yes,test fails,No,No,
308-2-6,Type-2,Yes,test fails,No,No,
308-3-5,Type-3,Yes,Yes,Yes,No,
308-4-5,Type-3,Yes,test fails,No,No,
308-5-6,Type-3,Yes,test fails,No,No,
332-1-3,Type-3,Yes,test fails,No,No,
332-2-3,Type-3,Yes,test fails,No,No,
342-1-2,Type-3,Yes,Yes,Yes,No,
342-1-7,Type-3,no method call,no method call,no method call,No,
342-1-8,Type-3,Yes,Yes,Yes,No,
342-1-9,Type-3,Yes,test fails,No,No,
342-1-10,Type-3,Yes,test fails,No,No,
342-1-12,Type-3,Yes,test fails,No,No,
342-1-13,Type-3,no method call,no method call,no method call,No,
342-1-14,Type-3,Yes,Yes,Yes,No,
342-2-3,Type-3,compilation error,compilation error,No,No,
342-2-10,Type-3,no method call,no method call,no method call,No,
342-2-11,Type-3,Yes,Yes,Yes,No,
